bm,norm,zlook,ema,hz,sl,tp,rr,is_pf,is_wr,oos_pf,oos_wr,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,100,75,80,1.75,1.5,2.5,1.667,1.0098739271171175,42.55788313120176,1.167011576108766,43.87417218543046,2418,1.0560500573422242,42.88668320926386,79009.56696020297,-42224.05259344381
15,100,75,80,1.75,1.5,3.0,2.0,1.0126164683531793,40.08073817762399,1.046464384933087,39.68804159445407,2311,1.0227722223246747,39.98269147555171,32075.20572896745,-48442.59653277761
15,100,75,80,1.75,2.0,2.0,1.0,1.0503393151532594,52.110298255486775,1.1397362372147488,52.61382799325464,2370,1.0765152330951577,52.23628691983122,109415.90677390096,-47213.577361359436
15,100,75,80,1.75,2.0,2.5,1.25,1.008144445712271,48.13056379821958,1.1683810555311696,48.86164623467601,2256,1.0549488910250067,48.315602836879435,80769.50977828095,-56922.29479253234
15,100,75,80,1.75,2.0,3.0,1.5,1.0126913595221914,45.760598503740646,1.0401800765257787,44.177449168207026,2145,1.0209494407240518,45.36130536130536,30839.3371898467,-58020.21145739836
15,100,75,80,1.8,1.5,2.0,1.333,1.0546698926396108,46.81647940074907,1.157389469305666,48.214285714285715,2485,1.0849400573130923,47.16297786720322,114779.01527505764,-34041.396712589776
15,100,75,80,1.8,1.5,2.5,1.667,1.0111667889169484,42.777467930842164,1.1730609566444785,43.88609715242881,2390,1.05884913155023,43.05439330543933,81958.67883167116,-40422.00834483741
15,100,75,80,1.8,1.5,3.0,2.0,1.0123055056203871,40.25670945157526,1.0493280325190677,39.64912280701754,2284,1.023433028736514,40.10507880910683,32633.64103319018,-42412.33301966167
15,100,75,80,1.8,2.0,2.0,1.0,1.055617395433786,52.30769230769231,1.1569845120724218,53.01204819277108,2336,1.085159941339532,52.48287671232877,119242.47152427182,-46020.50865546355
15,100,75,80,1.8,2.0,2.5,1.25,1.0105217862732747,48.288288288288285,1.176827599212358,49.01960784313726,2226,1.059000724123825,48.47259658580413,85385.84663650373,-52455.875437786344
15,100,75,80,1.8,2.0,3.0,1.5,1.013038429617237,45.867507886435334,1.0443012954867905,44.25612052730697,2116,1.0224069500712702,45.46313799621928,32507.433335906062,-54907.34179540159
