entry_ts,exit_ts,direction,pnl_$,strat,cum,peak,dd
2021-10-25 09:35:00-04:00,2021-10-25 09:40:00-04:00,LONG,-1000.0,FB,81238.2158338758,82238.2158338758,-1000.0
2021-10-25 10:00:00-04:00,2021-10-25 12:20:00-04:00,LONG,1086.4523439105324,RV,82324.66817778634,82324.66817778634,0.0
2021-10-25 19:00:00-04:00,2021-10-26 06:20:00-04:00,LONG,1080.0,OD,83404.66817778634,83404.66817778634,0.0
2021-10-26 10:20:00-04:00,2021-10-26 11:40:00-04:00,LONG,-1006.7549340535696,RV,82397.91324373278,83404.66817778634,-1006.7549340535625
2021-10-26 10:50:00-04:00,2021-10-26 12:05:00-04:00,LONG,-2205.0,FB,80192.91324373278,83404.66817778634,-3211.7549340535625
2021-10-26 12:15:00-04:00,2021-10-26 16:20:00-04:00,LONG,-895.0,B2,79297.91324373278,83404.66817778634,-4106.7549340535625
2021-10-26 19:00:00-04:00,2021-10-27 05:00:00-04:00,LONG,-190.0,OD,79107.91324373278,83404.66817778634,-4296.7549340535625
2021-10-27 10:55:00-04:00,2021-10-27 13:40:00-04:00,LONG,2612.039964857686,B2,81719.95320859046,83404.66817778634,-1684.7149691958766
2021-10-27 10:35:00-04:00,2021-10-27 14:00:00-04:00,LONG,1660.0,FB,83379.95320859046,83404.66817778634,-24.71496919587662
2021-10-27 14:45:00-04:00,2021-10-27 15:20:00-04:00,LONG,-1415.0,B2,81964.95320859046,83404.66817778634,-1439.7149691958766
2021-10-27 19:00:00-04:00,2021-10-28 08:00:00-04:00,LONG,2480.0,OD,84444.95320859046,84444.95320859046,0.0
2021-10-28 11:20:00-04:00,2021-10-28 13:00:00-04:00,LONG,-1276.751729314674,RV,83168.20147927578,84444.95320859046,-1276.7517293146811
2021-10-28 10:40:00-04:00,2021-10-28 14:00:00-04:00,LONG,285.0,FB,83453.20147927578,84444.95320859046,-991.7517293146811
2021-10-28 19:00:00-04:00,2021-10-29 05:00:00-04:00,LONG,-745.0,OD,82708.20147927578,84444.95320859046,-1736.7517293146811
2021-10-29 09:40:00-04:00,2021-10-29 11:40:00-04:00,LONG,1132.5140140258736,RV,83840.71549330166,84444.95320859046,-604.2377152888075
2021-10-29 10:10:00-04:00,2021-10-29 14:00:00-04:00,LONG,1680.0,FB,85520.71549330166,85520.71549330166,0.0
2021-10-31 19:00:00-04:00,2021-11-01 08:00:00-04:00,LONG,970.0,OD,86490.71549330166,86490.71549330166,0.0
2021-11-01 11:20:00-04:00,2021-11-01 15:00:00-04:00,SHORT,65.0,RV,86555.71549330166,86555.71549330166,0.0
2021-11-01 19:00:00-04:00,2021-11-02 05:00:00-04:00,LONG,-490.0,OD,86065.71549330166,86555.71549330166,-490.0
2021-11-02 09:40:00-04:00,2021-11-02 12:00:00-04:00,LONG,868.3836457404323,RV,86934.09913904208,86934.09913904208,0.0
2021-11-02 09:55:00-04:00,2021-11-02 14:00:00-04:00,LONG,-495.0,FB,86439.09913904208,86934.09913904208,-495.0
2021-11-02 12:25:00-04:00,2021-11-02 16:20:00-04:00,LONG,350.0,B2,86789.09913904208,86934.09913904208,-145.0
2021-11-02 19:00:00-04:00,2021-11-03 08:00:00-04:00,LONG,1230.0,OD,88019.09913904208,88019.09913904208,0.0
2021-11-03 14:20:00-04:00,2021-11-03 15:00:00-04:00,LONG,1600.0,RV,89619.09913904208,89619.09913904208,0.0
2021-11-03 19:00:00-04:00,2021-11-04 08:00:00-04:00,LONG,470.0,OD,90089.09913904208,90089.09913904208,0.0
2021-11-04 10:05:00-04:00,2021-11-04 14:00:00-04:00,LONG,1900.0,FB,91989.09913904208,91989.09913904208,0.0
2021-11-04 19:00:00-04:00,2021-11-05 07:00:00-04:00,LONG,935.0,OD,92924.09913904208,92924.09913904208,0.0
2021-11-05 09:35:00-04:00,2021-11-05 13:30:00-04:00,LONG,-1730.0,FB,91194.09913904208,92924.09913904208,-1730.0
2021-11-05 14:00:00-04:00,2021-11-05 15:00:00-04:00,LONG,265.0,RV,91459.09913904208,92924.09913904208,-1465.0
2021-11-05 13:20:00-04:00,2021-11-05 16:20:00-04:00,LONG,-355.0,B2,91104.09913904208,92924.09913904208,-1820.0
2021-11-07 19:00:00-05:00,2021-11-08 08:00:00-05:00,LONG,600.0,OD,91704.09913904208,92924.09913904208,-1220.0
2021-11-08 19:00:00-05:00,2021-11-09 07:40:00-05:00,LONG,990.0,OD,92694.09913904208,92924.09913904208,-230.0
2021-11-09 10:20:00-05:00,2021-11-09 13:40:00-05:00,SHORT,1448.5854532440137,RV,94142.6845922861,94142.6845922861,0.0
2021-11-09 11:30:00-05:00,2021-11-09 14:00:00-05:00,SHORT,2875.180134777256,B2,97017.86472706335,97017.86472706335,0.0
2021-11-09 14:20:00-05:00,2021-11-09 15:00:00-05:00,SHORT,-75.0,RV,96942.86472706335,97017.86472706335,-75.0
2021-11-09 19:00:00-05:00,2021-11-10 05:00:00-05:00,LONG,-165.0,OD,96777.86472706335,97017.86472706335,-240.0
2021-11-10 10:00:00-05:00,2021-11-10 13:20:00-05:00,SHORT,1569.8321899909934,RV,98347.69691705435,98347.69691705435,0.0
2021-11-10 19:00:00-05:00,2021-11-11 08:00:00-05:00,LONG,3090.0,OD,101437.69691705435,101437.69691705435,0.0
2021-11-11 19:00:00-05:00,2021-11-12 05:00:00-05:00,LONG,-620.0,OD,100817.69691705435,101437.69691705435,-620.0
2021-11-12 10:20:00-05:00,2021-11-12 11:20:00-05:00,LONG,1121.8345511646112,RV,101939.53146821895,101939.53146821895,0.0
2021-11-12 11:05:00-05:00,2021-11-12 14:00:00-05:00,LONG,1110.0,FB,103049.53146821895,103049.53146821895,0.0
2021-11-12 11:30:00-05:00,2021-11-12 16:20:00-05:00,LONG,480.0,B2,103529.53146821895,103529.53146821895,0.0
2021-11-14 19:00:00-05:00,2021-11-15 08:00:00-05:00,LONG,1290.0,OD,104819.53146821895,104819.53146821895,0.0
2021-11-15 19:00:00-05:00,2021-11-16 05:00:00-05:00,LONG,-725.0,OD,104094.53146821895,104819.53146821895,-725.0
2021-11-16 10:05:00-05:00,2021-11-16 11:40:00-05:00,LONG,1127.291295111936,B2,105221.82276333089,105221.82276333089,0.0
2021-11-16 10:55:00-05:00,2021-11-16 14:00:00-05:00,LONG,1650.0,FB,106871.82276333089,106871.82276333089,0.0
2021-11-16 19:00:00-05:00,2021-11-17 08:00:00-05:00,LONG,-380.0,OD,106491.82276333089,106871.82276333089,-380.0
2021-11-17 11:00:00-05:00,2021-11-17 12:00:00-05:00,LONG,798.6454498584499,B2,107290.46821318934,107290.46821318934,0.0
2021-11-17 10:40:00-05:00,2021-11-17 12:20:00-05:00,LONG,992.6270966058656,RV,108283.0953097952,108283.0953097952,0.0
2021-11-17 11:30:00-05:00,2021-11-17 12:55:00-05:00,LONG,-1015.0,FB,107268.0953097952,108283.0953097952,-1015.0
2021-11-17 13:45:00-05:00,2021-11-17 16:20:00-05:00,LONG,-795.0,B2,106473.0953097952,108283.0953097952,-1810.0
2021-11-17 19:00:00-05:00,2021-11-18 08:00:00-05:00,LONG,1210.0,OD,107683.0953097952,108283.0953097952,-600.0
2021-11-18 10:40:00-05:00,2021-11-18 11:40:00-05:00,LONG,1232.318580509091,RV,108915.41389030429,108915.41389030429,0.0
2021-11-18 12:05:00-05:00,2021-11-18 14:00:00-05:00,LONG,-665.0,FB,108250.41389030429,108915.41389030429,-665.0
2021-11-18 14:40:00-05:00,2021-11-18 16:00:00-05:00,LONG,2478.7360979821824,B2,110729.14998828647,110729.14998828647,0.0
2021-11-18 19:00:00-05:00,2021-11-19 05:00:00-05:00,LONG,565.0,OD,111294.14998828647,111294.14998828647,0.0
2021-11-19 10:00:00-05:00,2021-11-19 10:40:00-05:00,LONG,-1255.4297519278043,RV,110038.72023635867,111294.14998828647,-1255.4297519278043
2021-11-19 11:30:00-05:00,2021-11-19 13:40:00-05:00,LONG,-1315.0,FB,108723.72023635867,111294.14998828647,-2570.4297519278043
2021-11-19 11:40:00-05:00,2021-11-19 16:20:00-05:00,LONG,-835.0,B2,107888.72023635867,111294.14998828647,-3405.4297519278043
2021-11-21 19:00:00-05:00,2021-11-22 08:00:00-05:00,LONG,555.0,OD,108443.72023635867,111294.14998828647,-2850.4297519278043
2021-11-22 09:40:00-05:00,2021-11-22 10:20:00-05:00,LONG,882.6816400486132,RV,109326.40187640728,111294.14998828647,-1967.7481118791911
2021-11-22 09:55:00-05:00,2021-11-22 10:20:00-05:00,LONG,1507.5760063144844,B2,110833.97788272177,111294.14998828647,-460.1721055647067
2021-11-22 09:50:00-05:00,2021-11-22 11:15:00-05:00,LONG,-1835.0,FB,108998.97788272177,111294.14998828647,-2295.1721055647067
2021-11-22 12:15:00-05:00,2021-11-22 15:00:00-05:00,LONG,1618.972938709121,B2,110617.95082143089,111294.14998828647,-676.1991668555856
2021-11-22 19:00:00-05:00,2021-11-23 05:20:00-05:00,LONG,-1315.0,OD,109302.95082143089,111294.14998828647,-1991.1991668555856
