bm,norm,zlook,ema,hz,sl,tp,variant,of_p1,of_p2,gamma,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd
15,350,75,80,1.9,2.0,2.0,gamma_only,0,0,drop_pos,1468,1.0864659518896906,53.40599455040872,73389.6445232362,-28084.516144534173,455,1.232336600587543,53.62637362637363,77998.14923518075,-30774.067236522023,1923,1.1278093750719327,53.45813832553302,151387.79375841696,-30774.067236522038
15,350,75,80,1.9,2.0,2.0,window_N3_D100,3,100,none,982,1.143067168309441,53.05498981670061,79440.02778361039,-24902.16123178648,231,1.1620360994306131,52.81385281385281,28462.689840175008,-18224.499360423943,1213,1.147625825946552,53.00906842539159,107902.7176237854,-24902.16123178648
15,350,75,80,1.9,2.0,2.0,window_N3_D100,3,100,drop_pos,833,1.1356218880519509,53.06122448979592,65950.64898626052,-29840.250133879294,181,1.2095680263498592,55.248618784530386,30253.340360355796,-22138.641812811547,1014,1.152548878376705,53.451676528599606,96203.98934661632,-29840.250133879294
15,350,75,80,1.9,2.0,2.0,window_N5_D100,5,100,none,1206,1.093122185193776,52.653399668325044,65897.81528632584,-36142.238270455346,330,1.2135564314166203,53.93939393939394,52081.17734884654,-23717.75577077504,1536,1.1239894537172161,52.9296875,117978.9926351724,-36142.238270455346
15,350,75,80,1.9,2.0,2.0,window_N5_D100,5,100,drop_pos,1023,1.0931270040879117,53.17693059628544,57268.672068902844,-30334.251852221496,264,1.2648177547073653,55.68181818181818,53190.89564850576,-26076.30020225217,1287,1.1353985000445708,53.69075369075369,110459.56771740862,-30334.251852221496
15,350,75,80,1.9,2.0,2.0,window_N8_D100,8,100,none,1335,1.0813594193681453,52.80898876404494,64395.63801291133,-40879.86785115399,377,1.2271020292826071,53.58090185676392,64892.808969532125,-15439.75692721433,1712,1.1200183759571034,52.978971962616825,129288.44698244345,-40879.86785115399
15,350,75,80,1.9,2.0,2.0,window_N8_D100,8,100,drop_pos,1134,1.0999962563589931,53.7037037037037,68331.31194395584,-31332.15711821962,303,1.2788870370495793,55.115511551155116,66409.87614555772,-14332.92881567766,1437,1.146225228527864,54.00139178844815,134741.18808951357,-31332.15711821962
15,350,75,80,1.9,2.0,2.0,window_N8_D250,8,250,none,439,1.0527967509101068,52.16400911161731,13613.312099895193,-31477.45222928639,62,1.806582165647673,58.064516129032256,26631.186877382206,-9951.704871385373,501,1.1383633032198324,52.89421157684631,40244.4989772774,-31477.45222928639
15,350,75,80,1.9,2.0,2.0,window_N10_D100,10,100,none,1365,1.0694219679776225,52.6007326007326,56408.08314022949,-39877.72115405198,394,1.2085270008742284,53.807106598984774,62241.75829611915,-19472.953992838593,1759,1.1067933881529082,52.87094940306993,118649.84143634865,-39877.72115405198
15,350,75,80,1.9,2.0,2.0,window_N10_D100,10,100,drop_pos,1161,1.0842773677893327,53.48837209302326,59276.55601083374,-31449.84541889667,316,1.2614400062061208,55.379746835443036,64685.878193403914,-19472.953992838593,1477,1.130380777112986,53.893026404874746,123962.43420423765,-31449.84541889667
15,350,75,80,1.9,2.0,2.0,window_N10_D250,10,250,none,574,1.164661180178279,53.832752613240416,53083.053203891686,-18616.664816203956,80,0.9364331856193355,46.25,-3941.589176569396,-16784.049952063724,654,1.1278445555156784,52.90519877675841,49141.46402732229,-18616.664816203956
15,350,75,80,1.9,2.0,2.0,window_N10_D250,10,250,drop_pos,494,1.148298310635152,53.64372469635627,42338.59766559923,-21566.04166827732,60,0.9318223657160927,48.333333333333336,-3420.5898962202627,-17188.571860146476,554,1.1159420048808617,53.068592057761734,38918.007769378964,-21566.04166827732
15,350,75,80,1.9,2.0,2.0,multi_pd25_K2,25,2,none,1462,1.1086964614263912,53.48837209302326,91656.65783512639,-41249.45853207813,432,1.3022209810417096,54.398148148148145,94099.93356890867,-20894.89460821278,1894,1.1608844468332589,53.69588173178458,185756.59140403508,-41249.45853207813
15,350,75,80,1.9,2.0,2.0,multi_pd25_K2,25,2,drop_pos,1235,1.130080680797096,54.412955465587046,94209.41328831927,-31713.435519316554,347,1.3563109102078648,55.61959654178674,92038.63764667236,-20894.89460821278,1582,1.1895561425721077,54.67762326169406,186248.05093499162,-31713.435519316554
15,350,75,80,1.9,2.0,2.0,multi_pd25_K3,25,3,none,1380,1.1032879060751553,53.405797101449274,82917.44450679654,-43196.335818261796,395,1.2905931867255538,53.924050632911396,84349.31623945587,-18182.55150584133,1775,1.1530281383065188,53.521126760563384,167266.7607462524,-43196.335818261796
15,350,75,80,1.9,2.0,2.0,multi_pd25_K3,25,3,drop_pos,1161,1.122434817098155,54.435831180017225,84263.18623776638,-36606.804284771424,320,1.3671290430679583,55.625,88275.5238921068,-20281.988065572223,1481,1.1857897612610173,54.69277515192437,172538.7101298732,-36606.804284771424
