bm,norm,zlook,ema,hz,sl,tp,is_t,is_pf,is_wr,is_pnl,is_mdd,oos_t,oos_pf,oos_wr,oos_pnl,oos_mdd,tot_t,tot_pf,tot_wr,tot_pnl,tot_mdd,robust_pf
20,250,100,40,2.0,3.0,0.75,1141,1.2195345244908395,76.33654688869413,93761.56983715686,-14827.46567808601,389,1.2077938489190758,75.32133676092545,40461.84912496188,-26610.233836934785,1530,1.2158579291247449,76.07843137254902,134223.41896211874,-26610.233836934785,1.2077938489190758
20,225,75,40,1.75,3.0,0.75,1350,1.2064145638288586,74.66666666666667,103001.33042481604,-17668.771164093967,436,1.2636661279437824,75.45871559633028,54859.32250679427,-20289.493855469264,1786,1.2232616035373323,74.86002239641657,157860.65293161033,-20289.49385546925,1.2064145638288586
20,225,75,60,1.8,3.0,0.75,1329,1.2222900867869464,74.94356659142213,108879.70756606672,-18263.46579506174,429,1.2061278482540727,74.82517482517483,43578.273524901524,-17950.69336472021,1758,1.21741728477104,74.91467576791808,152457.98109096824,-18263.46579506174,1.2061278482540727
20,250,75,40,1.9,3.0,0.75,1299,1.2034458089371882,74.98075442648191,98705.49167906048,-16071.15715375261,412,1.2190388877979734,74.75728155339806,44199.661817365195,-20636.450231725612,1711,1.2080261696180816,74.92694330800701,142905.15349642566,-20636.450231725612,1.2034458089371882
20,225,75,40,1.9,3.0,1.0,1222,1.2307723012933471,70.45826513911621,123036.29431893135,-19266.1178357288,395,1.202582277125009,70.63291139240506,48314.03130359053,-20374.271394113166,1617,1.2220596179482541,70.50092764378479,171350.32562252186,-21239.974489920205,1.202582277125009
20,225,75,40,1.95,2.5,1.0,1220,1.2022636653355792,68.52459016393442,107572.20149084245,-17084.155489239856,394,1.2450803298948632,69.79695431472081,56549.371523503796,-19635.577110972226,1614,1.21521895115062,68.83519206939282,164121.57301434624,-21857.602432015046,1.2022636653355792
20,225,75,40,1.95,3.0,1.0,1197,1.2375270246988195,70.67669172932331,124060.63854241435,-19702.515201568604,388,1.2019260309977189,70.61855670103093,47448.69747044657,-21006.350894648203,1585,1.2264802213858887,70.66246056782335,171509.33601286093,-21006.35089464826,1.2019260309977189
20,225,75,60,1.95,3.0,0.75,1260,1.2236115399223448,74.76190476190476,104128.5490712354,-21532.80587473866,406,1.2011710934439914,74.63054187192118,40658.29817522732,-19277.042021555244,1666,1.216819740944266,74.72989195678271,144786.8472464627,-21532.80587473866,1.2011710934439914
20,225,75,40,1.8,3.0,1.0,1262,1.200768880795045,70.12678288431061,112476.14519251537,-20172.60430248265,411,1.256742138939942,71.28953771289538,61668.15350440549,-19807.610356189543,1673,1.2175656370177845,70.412432755529,174144.29869692086,-20172.60430248265,1.200768880795045
20,225,75,40,1.7,3.0,0.75,1381,1.1999899155564457,74.72845763939175,102210.30517356511,-19589.67696797903,447,1.2275627386652161,75.6152125279642,49551.60714078054,-19364.701266893462,1828,1.2082277615355075,74.945295404814,151761.91231434565,-19589.67696797903,1.1999899155564457
20,275,100,40,2.0,3.0,0.75,1146,1.2156744748782862,76.52705061082024,92914.2742295951,-15565.275952769261,386,1.1988992279546529,75.38860103626943,39480.1430288799,-26610.374328990292,1532,1.2103832522655091,76.2402088772846,132394.417258475,-26610.374328990292,1.1988992279546529
20,225,75,40,1.9,2.5,1.0,1245,1.1988469568825828,68.35341365461848,107686.02891250972,-15931.747810779925,401,1.258255734354171,70.07481296758105,59979.674566188405,-19635.577110972226,1646,1.216677936457144,68.77278250303766,167665.70347869812,-21747.978974086436,1.1988469568825828
20,225,75,60,2.0,3.0,0.75,1243,1.2071613449911471,74.73853580048271,96515.52207675413,-20722.80587473866,399,1.1977792918978671,74.93734335839599,39933.231907510926,-17257.042021555244,1642,1.2043247139288125,74.78684531059683,136448.75398426506,-20722.80587473866,1.1977792918978671
20,250,75,40,1.85,3.0,0.75,1329,1.197769808821837,74.79307750188111,98276.8109164785,-15282.728117821716,416,1.2158904697095572,74.51923076923077,43976.43024893485,-20941.450231725612,1745,1.2030381764011775,74.72779369627507,142253.24116541335,-20941.450231725612,1.197769808821837
