entry_ts,exit_ts,entry_close,exit_close,drift,prev_drift,prev2_drift,sign,prev_sign,year
2024-12-01 19:00:00-05:00,2024-12-02 08:00:00-05:00,20973.0,21030.25,57.25,-24.0,25.5,1.0,-1.0,2024
2024-12-02 19:00:00-05:00,2024-12-03 08:00:00-05:00,21215.75,21204.5,-11.25,57.25,-24.0,-1.0,1.0,2024
2024-12-03 19:00:00-05:00,2024-12-04 08:00:00-05:00,21324.0,21422.75,98.75,-11.25,57.25,1.0,-1.0,2024
2024-12-04 19:00:00-05:00,2024-12-05 08:00:00-05:00,21506.0,21522.0,16.0,98.75,-11.25,1.0,1.0,2024
2024-12-05 19:00:00-05:00,2024-12-06 08:00:00-05:00,21453.25,21477.0,23.75,16.0,98.75,1.0,1.0,2024
2024-12-08 19:00:00-05:00,2024-12-09 08:00:00-05:00,21656.5,21614.5,-42.0,23.75,16.0,-1.0,1.0,2024
2024-12-09 19:00:00-05:00,2024-12-10 08:00:00-05:00,21466.75,21529.5,62.75,-42.0,23.75,1.0,-1.0,2024
2024-12-10 19:00:00-05:00,2024-12-11 08:00:00-05:00,21418.0,21450.0,32.0,62.75,-42.0,1.0,1.0,2024
2024-12-11 19:00:00-05:00,2024-12-12 08:00:00-05:00,21752.25,21712.5,-39.75,32.0,62.75,-1.0,1.0,2024
2024-12-12 19:00:00-05:00,2024-12-13 08:00:00-05:00,21757.75,21839.0,81.25,-39.75,32.0,1.0,-1.0,2024
2024-12-15 19:00:00-05:00,2024-12-16 08:00:00-05:00,21799.0,22185.75,386.75,81.25,-39.75,1.0,1.0,2024
2024-12-16 19:00:00-05:00,2024-12-17 08:00:00-05:00,22387.25,22343.25,-44.0,386.75,81.25,-1.0,1.0,2024
2024-12-17 19:00:00-05:00,2024-12-18 08:00:00-05:00,22289.0,22357.5,68.5,-44.0,386.75,1.0,-1.0,2024
2024-12-18 19:00:00-05:00,2024-12-19 08:00:00-05:00,21496.25,21673.75,177.5,68.5,-44.0,1.0,1.0,2024
2024-12-19 19:00:00-05:00,2024-12-20 08:00:00-05:00,21307.5,21085.5,-222.0,177.5,68.5,-1.0,1.0,2024
2024-12-22 19:00:00-05:00,2024-12-23 08:00:00-05:00,21628.25,21655.0,26.75,-222.0,177.5,1.0,-1.0,2024
2024-12-23 19:00:00-05:00,2024-12-24 08:00:00-05:00,21714.75,21795.0,80.25,26.75,-222.0,1.0,1.0,2024
2024-12-25 19:00:00-05:00,2024-12-26 08:00:00-05:00,22045.75,21959.25,-86.5,80.25,26.75,-1.0,1.0,2024
2024-12-26 19:00:00-05:00,2024-12-27 08:00:00-05:00,21980.25,21925.25,-55.0,-86.5,80.25,-1.0,-1.0,2024
2024-12-29 19:00:00-05:00,2024-12-30 08:00:00-05:00,21696.25,21463.5,-232.75,-55.0,-86.5,-1.0,-1.0,2024
2024-12-30 19:00:00-05:00,2024-12-31 08:00:00-05:00,21397.5,21476.0,78.5,-232.75,-55.0,1.0,-1.0,2024
2025-01-01 19:00:00-05:00,2025-01-02 08:00:00-05:00,21145.5,21424.5,279.0,78.5,-232.75,1.0,1.0,2025
2025-01-02 19:00:00-05:00,2025-01-03 08:00:00-05:00,21205.25,21249.75,44.5,279.0,78.5,1.0,1.0,2025
2025-01-05 19:00:00-05:00,2025-01-06 08:00:00-05:00,21503.75,21723.25,219.5,44.5,279.0,1.0,1.0,2025
2025-01-06 19:00:00-05:00,2025-01-07 08:00:00-05:00,21765.75,21755.0,-10.75,219.5,44.5,-1.0,1.0,2025
2025-01-07 19:00:00-05:00,2025-01-08 08:00:00-05:00,21404.25,21331.25,-73.0,-10.75,219.5,-1.0,-1.0,2025
2025-01-08 19:00:00-05:00,2025-01-09 08:00:00-05:00,21306.0,21317.75,11.75,-73.0,-10.75,1.0,-1.0,2025
2025-01-09 19:00:00-05:00,2025-01-10 08:00:00-05:00,21184.25,21291.25,107.0,11.75,-73.0,1.0,1.0,2025
2025-01-12 19:00:00-05:00,2025-01-13 08:00:00-05:00,21031.75,20820.0,-211.75,107.0,11.75,-1.0,1.0,2025
2025-01-13 19:00:00-05:00,2025-01-14 08:00:00-05:00,21041.5,20984.75,-56.75,-211.75,107.0,-1.0,-1.0,2025
2025-01-14 19:00:00-05:00,2025-01-15 08:00:00-05:00,20944.5,20982.5,38.0,-56.75,-211.75,1.0,-1.0,2025
2025-01-15 19:00:00-05:00,2025-01-16 08:00:00-05:00,21425.75,21439.75,14.0,38.0,-56.75,1.0,1.0,2025
2025-01-16 19:00:00-05:00,2025-01-17 08:00:00-05:00,21231.5,21427.5,196.0,14.0,38.0,1.0,1.0,2025
2025-01-19 19:00:00-05:00,2025-01-20 08:00:00-05:00,21549.5,21573.0,23.5,196.0,14.0,1.0,1.0,2025
2025-01-20 19:00:00-05:00,2025-01-21 08:00:00-05:00,21723.75,21705.75,-18.0,23.5,196.0,-1.0,1.0,2025
2025-01-21 19:00:00-05:00,2025-01-22 08:00:00-05:00,21809.25,21922.5,113.25,-18.0,23.5,1.0,-1.0,2025
2025-01-22 19:00:00-05:00,2025-01-23 08:00:00-05:00,21966.5,21886.25,-80.25,113.25,-18.0,-1.0,1.0,2025
2025-01-23 19:00:00-05:00,2025-01-24 08:00:00-05:00,22008.75,22023.0,14.25,-80.25,113.25,1.0,-1.0,2025
2025-01-26 19:00:00-05:00,2025-01-27 08:00:00-05:00,21650.5,21149.5,-501.0,14.25,-80.25,-1.0,1.0,2025
