date,fill_idx,dir,kind,bos,sl,tp,pnl_pts,reason
2022-12-19,574,-1,CONT,False,25.0,38.0,38.0,TP
2022-12-21,572,-1,CONT,False,50.0,76.0,-50.0,SL
2022-12-27,578,-1,CONT,False,25.0,38.0,38.0,TP
2022-12-27,619,1,REV,True,50.0,76.0,-50.0,SL
2022-12-28,573,1,CONT,False,50.0,76.0,-50.0,SL
2022-12-30,574,1,CONT,False,50.0,76.0,-50.0,SL
2023-01-03,574,1,CONT,False,50.0,76.0,-50.0,SL
2023-01-04,645,1,REV,True,50.0,76.0,76.0,TP
2023-01-05,572,-1,CONT,False,50.0,76.0,76.0,TP
2023-01-06,574,1,CONT,False,50.0,76.0,-50.0,SL
2023-01-06,578,-1,CONT,False,50.0,76.0,76.0,TP
2023-01-09,571,1,CONT,False,25.0,38.0,-25.0,SL
2023-01-10,572,1,CONT,False,50.0,76.0,76.0,TP
2023-01-12,571,1,CONT,False,50.0,76.0,-50.0,SL
2023-01-12,578,1,CONT,False,25.0,38.0,-25.0,SL
2023-01-16,572,1,CONT,False,25.0,38.0,-25.0,SL
2023-01-18,573,-1,CONT,False,50.0,76.0,-50.0,SL
2023-01-23,578,1,CONT,False,25.0,38.0,38.0,TP
2023-01-25,571,-1,CONT,False,50.0,76.0,76.0,TP
2023-01-26,571,1,CONT,False,25.0,38.0,-25.0,SL
2023-01-27,573,1,CONT,False,25.0,38.0,38.0,TP
2023-01-30,579,1,CONT,False,50.0,76.0,-50.0,SL
2023-02-02,571,1,CONT,False,50.0,76.0,-50.0,SL
2023-02-03,630,-1,REV,True,50.0,76.0,-50.0,SL
2023-02-06,572,1,CONT,False,25.0,38.0,-25.0,SL
2023-02-10,571,1,CONT,False,50.0,76.0,-50.0,SL
2023-02-13,571,-1,CONT,False,25.0,38.0,-25.0,SL
2023-02-14,571,-1,CONT,False,50.0,76.0,-50.0,SL
2023-02-15,571,1,CONT,False,25.0,38.0,38.0,TP
2023-02-16,580,1,CONT,False,25.0,38.0,38.0,TP
2023-02-17,580,-1,CONT,False,25.0,38.0,38.0,TP
2023-02-24,573,1,CONT,False,25.0,38.0,-25.0,SL
2023-02-27,579,-1,CONT,False,25.0,38.0,-25.0,SL
2023-03-06,574,1,CONT,False,25.0,38.0,-25.0,SL
