date,strat,pnl_pts,mae_pts,stop_pts,ratio
2025-11-04,OD,-194.25,136.25,76.2429566542661,1.7870503188621591
2025-11-05,FB,175.5,30.0,149.5,0.20066889632107024
2025-11-05,B2,128.55673710705014,3.5,155.99030463635216,0.02243729190836105
2025-11-05,OD,-73.0,104.0,61.3873229480861,1.694160862625505
2025-11-06,OD,-75.25,25.25,82.04151850645279,0.3077709976566806
2025-11-07,RV,144.02199911145001,17.0,144.03625863937924,0.1180258371092696
2025-11-07,B2,163.1134021949547,44.75,196.29208592070802,0.22797658800200796
2025-11-07,RV,-77.75,81.0,170.82077087692136,0.47418121100952987
2025-11-09,OD,237.5,19.25,87.69805164899932,0.21950316612558007
2025-11-10,FB,-110.5,121.75,109.75,1.1093394077448746
2025-11-10,OD,-32.0,20.25,51.12272423173953,0.39610565172948653
2025-11-11,B2,-111.5,121.5,107.5263735999404,1.1299553396271829
2025-11-11,RV,-87.45080910551769,99.5,87.44816324567002,1.1378169227005088
2025-11-11,FB,32.25,50.25,77.0,0.6525974025974026
2025-11-11,B2,19.25,34.0,130.1683460550711,0.2612002151860746
2025-11-11,OD,77.0,5.0,52.566421211727814,0.09511775549377664
2025-11-12,B2,-7.5,33.75,110.25425159136876,0.30611064437756447
2025-11-12,B2,-62.5,81.25,147.14392609677677,0.5521804545745351
2025-11-12,OD,117.25,33.0,67.42987939425288,0.48939728643223146
2025-11-13,B2,264.86096208239906,161.25,145.73681077523543,1.106446608391136
2025-11-13,OD,-53.25,43.5,90.64749867683764,0.47988086417121595
2025-11-14,RV,-164.4711549441381,226.0,164.4711549433651,1.374101130850708
2025-11-16,OD,243.5,17.75,84.59627681284837,0.20982010874152504
2025-11-17,RV,124.46461314781482,82.75,123.83451547304908,0.6682304984510512
2025-11-17,RV,176.1593309233649,86.25,175.75540681337506,0.4907388146049134
2025-11-17,B2,24.5,162.5,222.63525689710235,0.7298933792642929
2025-11-17,OD,-31.5,48.0,93.59029124547844,0.5128737111641266
2025-11-18,OD,184.0,1.0,109.64450798325002,0.009120383851353196
2025-11-19,FB,-238.25,241.75,237.5,1.0178947368421052
2025-11-19,OD,-10.75,25.25,116.98829935937341,0.21583355034878454
2025-11-20,OD,-209.0,82.75,140.34121161176577,0.5896343565061718
2025-11-21,RV,-267.4203104726621,355.0,267.41422075626474,1.327528502396159
2025-11-23,OD,108.5,12.5,127.90429864124214,0.09772931897356446
2025-11-24,B2,136.82936059994245,13.75,162.44286666702033,0.08464514498002004
2025-11-24,FB,285.75,13.75,148.0,0.0929054054054054
2025-11-24,OD,-24.75,28.25,56.35616946249168,0.501276085110824
2025-11-25,FB,-17.5,63.75,167.0,0.38173652694610777
2025-11-25,RV,-27.0,102.75,146.92841121148697,0.6993201597484294
2025-11-25,OD,193.0,7.5,61.982320425833265,0.12100224626108248
2025-11-26,FB,-90.0,107.0,89.25,1.1988795518207283
2025-11-26,OD,-15.25,22.75,46.55750901677855,0.48864298113117
2025-11-27,OD,164.0,14.75,19.779742969902404,0.7457124201484393
2025-11-30,OD,-109.75,140.0,55.21496940920067,2.535544282610275
2025-12-01,FB,141.5,28.0,109.25,0.2562929061784897
2025-12-01,OD,-89.5,19.75,53.76479039203042,0.367340779271922
2025-12-02,FB,-155.0,175.75,154.25,1.1393841166936791
2025-12-02,B2,16.5,24.0,153.5139410158499,0.15633759280222026
2025-12-02,B2,3.0,32.0,161.82635236724562,0.19774282452699554
2025-12-02,OD,17.0,37.25,54.04615754811747,0.6892256857823094
2025-12-03,OD,-33.25,58.0,41.69810275707675,1.3909505748473554
2025-12-04,RV,98.10152710633702,11.0,98.10152707750706,0.11212873364661523
2025-12-04,RV,-107.94211306966099,153.25,107.94211304822676,1.4197424496547555
2025-12-04,OD,170.0,2.25,48.88029562337816,0.04603081817131818
2025-12-05,FB,-69.0,143.75,215.25,0.667828106852497
2025-12-07,OD,74.0,2.25,50.18888406933385,0.044830644110192185
2025-12-08,OD,-40.0,42.0,45.38770951646315,0.9253606416240425
2025-12-09,FB,41.0,44.5,73.0,0.6095890410958904
2025-12-09,OD,4.5,32.75,32.91519731333612,0.994981123407418
2025-12-10,RV,-97.65529273634458,103.5,97.65529273634337,1.0598503890560913
2025-12-10,OD,-103.75,71.75,69.04086702144542,1.0392395561561107
2025-12-11,RV,-125.3304685554867,127.5,125.33046855548804,1.017310486983071
2025-12-11,OD,-71.0,22.5,81.86702730266944,0.2748359228534776
2025-12-12,B2,115.74646456726626,9.75,126.64280154419788,0.07698818946766023
2025-12-12,RV,51.25,77.25,155.94969596041494,0.4953520397988371
2025-12-14,OD,78.5,11.0,74.31540131164296,0.14801777028521051
2025-12-15,OD,-120.25,30.75,65.20739438885309,0.4715722854470715
2025-12-16,OD,199.0,14.5,84.04094806614454,0.1725349408075187
2025-12-17,OD,-56.5,22.0,75.27096520668556,0.29227737334828224
2025-12-18,OD,260.5,20.0,72.37388492231266,0.2763427722785413
2025-12-21,OD,62.25,6.0,78.42977548509957,0.07650155776794115
2025-12-22,OD,-23.25,17.5,28.883248456535117,0.6058875277251045
2025-12-23,FB,-1.0,23.5,166.0,0.14156626506024098
2025-12-23,B2,38.75,23.5,87.49426546189378,0.26858903124610967
2025-12-23,OD,-50.0,16.0,25.65934257878958,0.6235545572093438
2025-12-24,FB,-3.75,15.25,59.75,0.25523012552301255
2025-12-25,OD,-23.0,22.0,26.949677037948046,0.8163363133822209
2025-12-28,OD,-8.5,0.0,27.478686477995982,0.0
2025-12-29,OD,-5.25,18.25,36.327808239327204,0.5023699717794479
2025-12-30,FB,-26.25,58.5,66.75,0.8764044943820225
2025-12-30,OD,-91.0,52.25,33.99023161314327,1.5372063537159328
2026-01-01,OD,111.0,6.0,42.474871926316474,0.14125999038698772
2026-01-02,RV,-25.0,82.5,147.1905866599961,0.5604977999752895
2026-01-04,OD,-10.5,37.75,71.00944041540089,0.5316194548100197
2026-01-05,FB,-22.5,77.5,96.75,0.8010335917312662
2026-01-05,OD,185.0,8.0,40.48744446901876,0.19759212034539864
2026-01-06,FB,93.5,71.25,120.0,0.59375
2026-01-06,RV,-71.78813908152006,80.0,71.78813908151942,1.1143902185450936
2026-01-06,B2,62.75,124.25,91.58444714819218,1.356671398572204
2026-01-06,OD,-38.0,32.25,34.40158463054272,0.9374568162004816
2026-01-07,FB,96.5,47.5,92.25,0.5149051490514905
2026-01-07,B2,74.2960324905689,3.0,83.60970896476195,0.03588100039032999
2026-01-07,B2,73.84198719849883,6.0,89.05314191349373,0.06737550041556538
2026-01-07,OD,-76.0,17.25,37.2650395561684,0.4629003539362847
2026-01-08,RV,92.8001588838888,27.0,92.80015888388876,0.29094777772721603
2026-01-08,OD,-56.5,37.5,51.24369032897183,0.7317974127011397
2026-01-09,RV,116.90284026386504,81.5,116.9028402638641,0.6971601358533673
2026-01-09,FB,47.75,30.75,176.25,0.17446808510638298
2026-01-09,B2,15.75,38.5,147.466169231939,0.2610768300317485
2026-01-11,OD,-266.5,144.75,50.607371520091576,2.8602552484381247
2026-01-12,FB,82.75,12.75,158.0,0.08069620253164557
2026-01-12,OD,-9.75,49.0,39.06214262615463,1.254411476322636
2026-01-13,B2,-80.0,88.0,126.81734393332567,0.6939113946927171
2026-01-13,OD,-76.5,43.0,53.68886720658681,0.8009109194750257
2026-01-14,RV,107.35459756001,24.75,107.35459756001146,0.23054438806092767
2026-01-14,B2,116.74381982008344,21.25,134.19324695001433,0.15835372109235435
2026-01-14,RV,14.5,19.0,140.95937905774653,0.134790605116218
2026-01-14,OD,104.0,33.75,75.40931607413074,0.44755743397569386
2026-01-15,OD,82.5,1.5,49.40650955153769,0.030360371813663474
2026-01-16,B2,-29.5,45.25,120.13430736516182,0.37666176292553555
2026-01-18,OD,-78.5,62.75,73.09253529506145,0.8585007996601774
2026-01-19,RV,-82.78578404023574,97.75,82.78578404023645,1.1807582803406256
