sl_mult,tp_mult,RR,no_n,no_wr,no_pf,no_total_pts,no_mdd_pts,no_avg_win,no_avg_loss,no_payoff,mart_n,mart_wr,mart_pf,mart_total_pts,mart_mdd_pts,mart_total_mnq_$,mart_mdd_mnq_$,tp_n,sl_n,fc_n
2.0,4.5,2.25,751,39.280958721704394,1.079206496105877,1825.0026724492523,-1236.8771474931393,84.29178252253028,-50.528669236178025,1.6681971600823045,751,39.280958721704394,1.0797535898035084,1927.8305050145973,-1437.6131661960503,3855.6610100291946,-2875.2263323921006,153,0,179
2.0,4.75,2.375,744,39.247311827956985,1.0946629823673246,2162.20162836895,-1249.8715910165054,85.62756375804095,-50.53328979862612,1.6944783151713378,744,39.247311827956985,1.0954047717599515,2287.0726690140677,-1405.1143534579126,4574.1453380281355,-2810.228706915825,142,0,187
2.0,5.0,2.5,742,38.81401617250674,1.0997587053997153,2283.7182646902033,-1225.5927866578152,87.41714960732864,-50.42383441017719,1.7336474036509404,742,38.81401617250674,1.106393623322859,2555.9666625334758,-1380.8355490992226,5111.9333250669515,-2761.671098198445,131,0,195
2.25,3.0,1.3333333333333333,778,46.1439588688946,1.0711225513090925,1669.03057093887,-1331.3991631455765,70.0167065768839,-56.00708136076958,1.2501402479067125,778,46.1439588688946,1.048206308629088,1200.5354240209067,-1864.7929792670664,2401.0708480418134,-3729.5859585341327,281,0,120
2.25,3.25,1.4444444444444444,773,45.53686934023286,1.1054128773321894,2486.5028858599626,-1278.0567586379634,74.07593735428759,-56.029042904630096,1.322098924309238,773,45.53686934023286,1.0835693293286146,2091.3537509980615,-1667.4890031122968,4182.707501996123,-3334.9780062245936,257,0,137
2.25,3.5,1.5555555555555556,767,44.589308996088654,1.0690215918033141,1654.9402062665145,-1496.025219628716,74.94759601911659,-56.416794428873786,1.3284625044339429,767,44.589308996088654,1.0413324889041224,1057.4357100373843,-1884.365251371277,2114.8714200747686,-3768.730502742554,228,0,158
2.25,3.75,1.6666666666666667,752,44.41489361702128,1.1098701577527887,2594.9342007938817,-1429.5553975005087,78.482406142476,-56.50284557606004,1.3889991794630707,752,44.41489361702128,1.0788963606296451,1988.4936173990939,-1674.7205739656467,3976.9872347981877,-3349.4411479312935,209,0,169
2.25,4.0,1.7777777777777777,738,44.03794037940379,1.1026697096262943,2404.9089027097857,-1508.5643817033351,79.47277540110079,-56.716084994305014,1.4012387386943372,738,44.03794037940379,1.0764023491634835,1906.9249370043462,-1742.6180582470554,3813.8498740086925,-3485.236116494111,183,0,185
2.25,4.25,1.8888888888888888,733,43.24693042291951,1.09353486998554,2202.3024236444317,-1563.932966197509,81.22258059454502,-56.59917217506331,1.4350489145551566,733,43.24693042291951,1.0665280807321913,1675.467315124224,-1798.1251428198111,3350.934630248448,-3596.2502856396222,170,0,194
2.25,4.5,2.0,726,42.561983471074385,1.0969346706577938,2266.02002987944,-1443.424804249033,82.98639315854926,-56.059413563818424,1.4803293128294497,726,42.561983471074385,1.0702266097470208,1760.7378062228279,-1655.2554809499168,3521.4756124456558,-3310.5109618998335,157,0,203
2.25,4.75,2.111111111111111,719,42.42002781641168,1.1054664266950815,2451.3659052293633,-1411.011167826693,84.24412572949664,-56.14273536779495,1.500534756235291,719,42.42002781641168,1.0811238237528777,2018.4774359414475,-1611.7303446061571,4036.954871882895,-3223.4606892123143,143,0,212
