delta,lowz,sl,tp,n_is,n_oos,pf_is,pf_oos,wr_is,wr_oos,pnl_is,pnl_oos,mdd_is,mdd_oos
50,0.9,2.0,2.5,1633,465,1.0503211746541625,1.0961125875385682,49.66319657072872,50.32258064516129,51201.238614233516,34766.49231663774,-38472.80037999199,-30412.37893897407
50,0.9,2.0,2.75,1593,460,1.0537182444819593,1.0941566806232954,48.39924670433145,48.91304347826087,54567.578521894866,34744.06192530194,-40312.40850660005,-35650.50967177165
50,0.9,2.0,3.0,1569,447,1.0508054128948883,1.1127134127995573,47.673677501593374,48.09843400447427,51670.418774826605,41548.03628856171,-40048.87191452422,-28752.25042271166
50,0.9,2.25,1.0,2033,552,1.1357535950822264,1.006402511960014,66.99458927693064,63.405797101449274,119223.6728298643,2102.559988767389,-26956.962832039026,-35298.83032109363
50,0.9,2.25,1.25,1902,533,1.0506427607365068,1.090676098113584,61.46161934805468,60.97560975609756,48819.5205099912,30487.558131071637,-35535.30112370987,-30058.547090163338
50,0.9,2.25,1.5,1805,510,1.0426112642843033,1.1024096232481202,58.282548476454295,59.6078431372549,42325.881452218346,35313.49007506382,-33048.42411267851,-28996.476251948116
50,0.9,2.25,1.75,1744,494,1.0641125362776205,1.138433770194188,56.53669724770642,58.097165991902834,64641.42391811871,48675.298625255746,-36564.12465196998,-22862.68715212449
50,0.9,2.25,2.0,1687,483,1.0722366433740587,1.1456317817807735,54.475400118553644,55.900621118012424,73463.38957884477,52121.94962253168,-27722.856055268967,-24624.782057810735
50,0.9,2.25,2.25,1627,466,1.059046654860433,1.090850371457255,52.48924400737554,53.648068669527895,60615.85962721081,33209.90487554416,-36685.40918422976,-30803.223048371874
50,0.9,2.25,2.5,1582,458,1.045583848975494,1.062145689061184,51.26422250316055,51.52838427947598,46714.34504531713,23369.11768840946,-35001.3340658354,-33980.67689418844
50,0.9,2.25,2.75,1541,453,1.0511098270479196,1.0541150458211128,50.09733939000649,50.11037527593819,52161.97722114099,20770.240990844395,-40969.256976665965,-40728.83203309728
50,0.9,2.25,3.0,1517,440,1.049320938676933,1.0766319414805559,49.37376400791035,49.31818181818182,50361.99956230874,29265.817781574297,-38569.959837414004,-32590.77284705454
50,0.9,2.5,1.0,1994,549,1.1412431537695382,0.9973120948473356,68.1544633901705,64.48087431693989,122697.81402149332,-897.3455601176101,-21396.389637854627,-34096.2919873614
50,0.9,2.5,1.25,1864,529,1.0458092420970448,1.086356320163843,62.55364806866953,62.38185255198488,43977.05694912107,29351.831810545555,-35684.77355964569,-31956.484011180946
50,0.9,2.5,1.5,1766,504,1.0367136780077932,1.1025728229553338,59.39977349943375,60.91269841269841,36243.8197802021,35679.63328417725,-35562.38006772881,-31860.165689291025
50,0.9,2.5,1.75,1706,485,1.0542181161532993,1.131804570115251,57.62016412661196,59.381443298969074,54654.121471160215,46526.462892888085,-35463.1472386594,-28097.235362039864
50,0.9,2.5,2.0,1651,474,1.0609581609925751,1.1479735422030466,55.602665051483946,57.38396624472574,62170.668521865664,53048.08496757818,-36315.564036941956,-27023.15851706815
50,0.9,2.5,2.25,1593,459,1.0534185046119406,1.0989269727483604,53.79786566227244,55.119825708061,54855.50226294148,36343.97258161196,-44295.197915582154,-34334.82584527497
50,0.9,2.5,2.5,1545,451,1.0400359848032066,1.0598891871816496,52.55663430420712,52.77161862527716,41005.22913084078,22791.451022804613,-42576.370305348464,-39353.91902805299
50,0.9,2.5,2.75,1505,445,1.0429536599564568,1.0507993515527985,51.49501661129568,51.46067415730337,43888.19531355577,19758.158242930294,-42907.53453839814,-43600.50697706414
50,0.9,2.5,3.0,1482,430,1.0391600632556126,1.0796704056809798,50.742240215924426,50.69767441860465,40088.85159135472,30686.792304892006,-44606.865570629976,-37025.502490440194
50,0.9,2.75,1.0,1954,543,1.1470444885854396,0.9668194979693346,69.08904810644832,65.00920810313076,125755.88886732195,-11395.059723635713,-22293.8900099045,-38557.965881719065
50,0.9,2.75,1.25,1823,523,1.0365951885239741,1.0590238065201114,63.35710367526056,63.2887189292543,35090.101700291525,20600.553846404146,-43620.73110203308,-30009.913002909452
50,0.9,2.75,1.5,1724,498,1.0364116533003023,1.063132679423444,60.324825986078885,61.44578313253012,35634.61726528607,22675.742904538856,-39346.120298946844,-34973.747693430996
50,0.9,2.75,1.75,1666,479,1.050630391502726,1.1035229921777039,58.5234093637455,60.12526096033403,50805.18426784776,37528.160814383664,-39290.428826498974,-31815.10351564859
50,0.9,2.75,2.0,1611,467,1.05157130131442,1.1192858740304044,56.362507759155804,58.2441113490364,52648.4418671019,43859.661487009944,-44125.26016858374,-31537.772907527906
50,0.9,2.75,2.25,1553,452,1.0416017232265888,1.0823574075174869,54.539600772698,56.19469026548673,42931.70079540927,30884.68196462025,-51487.12182734465,-39465.43684149532
50,0.9,2.75,2.5,1503,444,1.0256206255595144,1.0547581468404932,53.35994677312043,54.054054054054056,26324.952094499204,21190.654261798554,-51435.77049962125,-45102.06637518197
50,0.9,2.75,2.75,1463,438,1.0362808789892641,1.0518264899036818,52.49487354750513,52.96803652968037,36967.94597970238,20431.706821742628,-49439.45151564978,-50007.521643847285
50,0.9,2.75,3.0,1439,423,1.0365854569122577,1.080905197852293,51.91104933981932,52.24586288416076,37293.883777532974,31554.58497753054,-50883.55765334086,-42773.64983756917
50,0.9,3.0,1.0,1928,538,1.1249098282959067,0.9861070168603144,69.70954356846472,65.61338289962825,108071.82269043702,-4675.409831347861,-29110.254258701207,-33875.04647239439
50,0.9,3.0,1.25,1796,518,1.005572393458378,1.0772858166261199,63.75278396436526,63.8996138996139,5436.849942866465,26508.01881045023,-40570.961925901574,-24438.080906669493
