sl_mult,tp_mult,no_n,no_total_pts,no_wr,no_pf,no_mdd_pts,no_avg,no_tp,no_sl,no_fc,mart_n,mart_total_pts,mart_wr,mart_pf,mart_mdd_pts,mart_avg,mart_total_mnq_$,mart_mdd_mnq_$
2.0,3.5,791,1359.5291520777819,41.340075853350186,1.0577950695252332,-1374.0504838535858,1.7187473477595219,223,0,135,791,1136.0289393632916,41.340075853350186,1.0461677484464738,-1675.9554505067204,1.4361933493846923,2272.057878726583,-3351.9109010134407
2.0,3.75,776,2268.8667709021543,41.108247422680414,1.0978147463407626,-1195.1368813757708,2.9237973851831884,205,0,145,776,2140.3619785515316,41.108247422680414,1.088287796277853,-1350.3796438171778,2.7581984259684686,4280.723957103063,-2700.7592876343556
2.0,4.0,764,2110.4226002746514,40.70680628272251,1.0915327184587076,-1336.0360079761872,2.7623332464327897,179,0,162,764,2085.9343461594785,40.70680628272251,1.0867004005401526,-1454.9626415368516,2.7302805578003646,4171.868692318957,-2909.925283073703
2.0,4.25,759,1703.8513683356566,39.789196310935445,1.0733344181432607,-1354.1543361386573,2.244863462892828,165,0,171,759,1710.7699449938427,39.789196310935445,1.0704560080901437,-1461.9694697779028,2.253978847159213,3421.5398899876855,-2923.9389395558055
2.0,4.5,751,1825.0026724492523,39.280958721704394,1.079206496105877,-1236.8771474931393,2.430096767575569,153,0,179,751,1927.8305050145973,39.280958721704394,1.0797535898035084,-1437.6131661960503,2.567017982709184,3855.6610100291946,-2875.2263323921006
2.0,4.75,744,2162.20162836895,39.247311827956985,1.0946629823673246,-1249.8715910165054,2.906184984366868,142,0,187,744,2287.0726690140677,39.247311827956985,1.0954047717599515,-1405.1143534579126,3.074022404588801,4574.1453380281355,-2810.228706915825
2.0,5.0,742,2283.7182646902033,38.81401617250674,1.0997587053997153,-1225.5927866578152,3.0777874187199505,131,0,195,742,2555.9666625334758,38.81401617250674,1.106393623322859,-1380.8355490992226,3.4446990061098055,5111.9333250669515,-2761.671098198445
2.25,1.0,940,-1561.9352212262336,66.70212765957447,0.9141799763557349,-1912.2297480677928,-1.6616332140704613,626,0,12,940,-1779.0444894125844,66.70212765957447,0.9041023267583097,-2174.6818500513623,-1.8926005206516856,-3558.088978825169,-4349.363700102725
2.25,1.25,914,-68.11215273400319,63.23851203501094,0.9964601241721711,-1218.5100832150822,-0.074520954851207,575,0,21,914,-285.8867020261771,63.23851203501094,0.9855364256268538,-1340.5526967137284,-0.3127863260680275,-571.7734040523542,-2681.105393427457
2.25,1.5,885,441.37518845459044,59.43502824858757,1.0215944514459707,-1402.0848939617517,0.49872902650236206,514,0,35,885,345.45932880183585,59.43502824858757,1.0164150437563135,-1469.2039084911878,0.390349524069871,690.9186576036717,-2938.4078169823756
2.25,1.75,862,-1134.6525941088678,54.40835266821345,0.9492602518590064,-1919.843655224162,-1.3163023133513547,446,0,53,862,-1359.183815845675,54.40835266821345,0.9415743053455036,-2106.2587411030745,-1.5767793687304816,-2718.36763169135,-4212.517482206149
2.25,2.0,835,1168.796158798847,54.011976047904184,1.0536265813397,-1399.2251163399624,1.3997558788010145,420,0,62,835,813.8428545473121,54.011976047904184,1.0355838994461766,-1466.3441308693991,0.974662101254266,1627.6857090946241,-2932.6882617387982
2.25,2.25,824,740.8164909973827,50.8495145631068,1.0325381251363541,-1453.3661249687484,0.8990491395599305,379,0,78,824,193.5211763330588,50.8495145631068,1.0080063808752957,-1728.6941120032127,0.23485579652070243,387.0423526661176,-3457.3882240064254
2.25,2.5,808,30.86122084127487,47.896039603960396,1.0013116815616883,-1841.4210866789874,0.038194580249102564,334,0,94,808,-591.4189542713768,47.896039603960396,0.9763425825790538,-2327.0522145310615,-0.7319541513259614,-1182.8379085427537,-4654.104429062123
2.25,2.75,795,1004.3747619776009,47.0440251572327,1.0425646450895838,-1582.8329842593253,1.2633644804749697,313,0,103,795,589.2992018223986,47.0440251572327,1.0235681794840072,-2068.7292864329893,0.7412568576382372,1178.5984036447971,-4137.458572865979
2.25,3.0,778,1669.03057093887,46.1439588688946,1.0711225513090925,-1331.3991631455765,2.145283510204203,281,0,120,778,1200.5354240209067,46.1439588688946,1.048206308629088,-1864.7929792670664,1.5431046581245587,2401.0708480418134,-3729.5859585341327
2.25,3.25,773,2486.5028858599626,45.53686934023286,1.1054128773321894,-1278.0567586379634,3.2166919610090074,257,0,137,773,2091.3537509980615,45.53686934023286,1.0835693293286146,-1667.4890031122968,2.7055029120285403,4182.707501996123,-3334.9780062245936
2.25,3.5,767,1654.9402062665145,44.589308996088654,1.0690215918033141,-1496.025219628716,2.157679538809015,228,0,158,767,1057.4357100373843,44.589308996088654,1.0413324889041224,-1884.365251371277,1.378664550244308,2114.8714200747686,-3768.730502742554
2.25,3.75,752,2594.9342007938817,44.41489361702128,1.1098701577527887,-1429.5553975005087,3.4507103733961193,209,0,169,752,1988.4936173990939,44.41489361702128,1.0788963606296451,-1674.7205739656467,2.6442734273924122,3976.9872347981877,-3349.4411479312935
2.25,4.0,738,2404.9089027097857,44.03794037940379,1.1026697096262943,-1508.5643817033351,3.2586841500132597,183,0,185,738,1906.9249370043462,44.03794037940379,1.0764023491634835,-1742.6180582470554,2.5839091287321767,3813.8498740086925,-3485.236116494111
2.25,4.25,733,2202.3024236444317,43.24693042291951,1.09353486998554,-1563.932966197509,3.004505352857342,170,0,194,733,1675.467315124224,43.24693042291951,1.0665280807321913,-1798.1251428198111,2.2857671420521473,3350.934630248448,-3596.2502856396222
