date,strat,tp,mae_pre,flat_pnl
2025-05-06,RV,0,3180.0,-1150.0
2025-05-06,OD,1,905.0,-1090.0
2025-05-07,OD,1,650.0,2675.0
2025-05-08,FB,0,1155.0,-960.0
2025-05-08,OD,1,1695.0,1555.0
2025-05-11,OD,1,410.0,1815.0
2025-05-12,OD,0,1680.0,-1500.0
2025-05-13,FB,1,320.0,1845.0
2025-05-13,RV,1,600.0,2085.0
2025-05-13,OD,1,465.0,1570.0
2025-05-14,FB,0,2615.0,-2380.0
2025-05-14,OD,0,250.0,10.0
2025-05-15,RV,1,185.0,2480.0
2025-05-15,FB,1,185.0,1155.0
2025-05-15,OD,0,585.0,-540.0
2025-05-18,OD,1,85.0,-565.0
2025-05-19,FB,1,110.0,2200.0
2025-05-19,B2,1,630.0,2325.0
2025-05-19,OD,0,1210.0,-1010.0
2025-05-20,OD,0,775.0,-775.0
2025-05-21,RV,0,2000.0,-1245.0
2025-05-21,B2,0,7480.0,-4140.0
2025-05-21,OD,1,490.0,960.0
2025-05-22,FB,1,170.0,890.0
2025-05-22,OD,0,1550.0,-1480.0
2025-05-23,FB,1,290.0,3970.0
2025-05-25,OD,1,150.0,1730.0
2025-05-26,OD,0,1055.0,-1055.0
2025-05-27,RV,1,500.0,1530.0
2025-05-27,FB,1,500.0,1975.0
2025-05-27,OD,0,850.0,-725.0
2025-05-28,OD,1,860.0,1335.0
2025-05-29,B2,1,715.0,-320.0
2025-05-29,OD,0,1890.0,-320.0
2025-05-30,RV,1,465.0,5345.0
2025-05-30,RV,0,1960.0,-1750.0
2025-06-01,OD,0,1280.0,-1075.0
2025-06-02,B2,1,195.0,2475.0
2025-06-02,FB,1,25.0,1915.0
2025-06-02,OD,0,1575.0,-1230.0
2025-06-03,FB,1,1170.0,1505.0
2025-06-03,B2,1,155.0,1495.0
2025-06-03,OD,1,955.0,-190.0
2025-06-04,FB,0,2280.0,-875.0
2025-06-04,OD,0,310.0,-145.0
2025-06-05,B2,0,5010.0,-3005.0
2025-06-05,RV,1,145.0,3590.0
2025-06-05,OD,1,115.0,2230.0
2025-06-06,FB,0,2535.0,-55.0
2025-06-08,OD,0,465.0,-430.0
2025-06-09,FB,0,1310.0,-310.0
2025-06-09,OD,1,390.0,2420.0
2025-06-10,FB,0,1745.0,-1290.0
2025-06-10,OD,0,1655.0,-1610.0
2025-06-11,OD,0,860.0,-470.0
2025-06-12,FB,1,70.0,960.0
2025-06-12,B2,0,1765.0,-985.0
2025-06-12,OD,0,5895.0,-5000.0
2025-06-15,OD,1,820.0,5120.0
2025-06-16,FB,1,260.0,1395.0
2025-06-16,OD,0,1540.0,-1510.0
2025-06-17,OD,1,135.0,1720.0
2025-06-18,OD,0,1735.0,-1470.0
2025-06-19,OD,1,915.0,-555.0
2025-06-22,OD,1,795.0,1450.0
2025-06-23,RV,1,0.0,1400.0
2025-06-23,FB,0,5190.0,-3675.0
2025-06-23,OD,1,945.0,1790.0
2025-06-24,FB,1,495.0,1975.0
2025-06-24,OD,1,0.0,1145.0
2025-06-25,RV,0,1490.0,-1225.0
2025-06-25,OD,1,360.0,1500.0
2025-06-26,RV,1,130.0,1075.0
2025-06-26,FB,1,1010.0,905.0
2025-06-26,OD,1,345.0,1090.0
2025-06-27,RV,1,0.0,690.0
2025-06-27,FB,0,1990.0,-1555.0
2025-06-27,RV,0,2695.0,-2415.0
2025-06-30,OD,0,375.0,275.0
2025-07-01,OD,1,705.0,665.0
2025-07-02,RV,0,2565.0,-2155.0
2025-07-02,OD,1,400.0,140.0
2025-07-03,FB,1,105.0,1300.0
2025-07-03,RV,0,795.0,-225.0
2025-07-03,OD,0,915.0,-825.0
2025-07-06,OD,0,1570.0,-950.0
2025-07-07,OD,1,80.0,1535.0
2025-07-08,OD,0,1505.0,-1165.0
2025-07-09,FB,1,0.0,-1060.0
2025-07-09,B2,0,3260.0,-2870.0
2025-07-09,B2,1,690.0,1385.0
2025-07-09,OD,0,1015.0,-945.0
2025-07-10,OD,0,1585.0,-1505.0
2025-07-11,RV,1,1100.0,370.0
2025-07-11,FB,0,1390.0,390.0
2025-07-13,OD,0,625.0,-535.0
2025-07-14,FB,1,455.0,2280.0
2025-07-14,B2,1,325.0,515.0
2025-07-14,OD,1,155.0,2780.0
2025-07-15,OD,0,685.0,-525.0
2025-07-16,RV,0,1840.0,-1495.0
2025-07-16,OD,1,395.0,1660.0
2025-07-17,FB,1,225.0,1400.0
2025-07-17,OD,0,250.0,255.0
2025-07-20,OD,1,180.0,1505.0
2025-07-21,RV,1,65.0,1310.0
2025-07-21,FB,0,390.0,650.0
2025-07-21,OD,0,235.0,-155.0
2025-07-22,OD,0,625.0,-605.0
2025-07-23,B2,0,2860.0,-1515.0
2025-07-23,RV,0,1880.0,-535.0
2025-07-23,B2,1,730.0,1240.0
2025-07-23,OD,0,380.0,-280.0
2025-07-24,OD,0,115.0,285.0
2025-07-25,RV,1,105.0,1425.0
2025-07-25,FB,1,195.0,725.0
2025-07-27,OD,1,120.0,590.0
2025-07-28,OD,1,60.0,1380.0
2025-07-29,RV,0,1875.0,-1550.0
2025-07-29,B2,0,1535.0,-865.0
2025-07-29,OD,0,155.0,100.0
2025-07-30,FB,0,1140.0,-70.0
2025-07-30,OD,1,465.0,1665.0
2025-07-31,B2,1,2250.0,215.0
2025-07-31,OD,0,1310.0,-370.0
2025-08-01,RV,1,490.0,415.0
2025-08-03,OD,1,680.0,1515.0
2025-08-04,FB,1,50.0,2945.0
2025-08-04,RV,1,185.0,1770.0
2025-08-04,OD,1,500.0,15.0
2025-08-05,B2,1,0.0,1415.0
2025-08-05,RV,1,590.0,735.0
2025-08-05,OD,1,855.0,1995.0
2025-08-06,RV,1,85.0,890.0
2025-08-06,FB,1,2110.0,2495.0
2025-08-06,RV,1,485.0,1990.0
2025-08-06,B2,1,685.0,530.0
2025-08-06,OD,0,350.0,60.0
2025-08-07,OD,0,1000.0,-880.0
2025-08-08,FB,1,465.0,1330.0
2025-08-08,B2,1,1640.0,1250.0
2025-08-10,OD,1,430.0,390.0
2025-08-11,FB,0,2115.0,-1780.0
2025-08-11,OD,0,850.0,-35.0
2025-08-12,FB,1,435.0,910.0
2025-08-12,OD,0,195.0,-130.0
2025-08-13,OD,0,515.0,-410.0
2025-08-14,RV,0,1855.0,-810.0
2025-08-14,FB,0,2720.0,-1190.0
2025-08-14,B2,1,1145.0,-640.0
2025-08-14,OD,1,645.0,200.0
2025-08-17,OD,0,115.0,25.0
2025-08-18,OD,0,1140.0,-880.0
2025-08-19,B2,1,1555.0,1590.0
2025-08-19,RV,1,360.0,2320.0
2025-08-19,OD,0,1495.0,-1455.0
2025-08-20,RV,0,2630.0,-1210.0
2025-08-20,B2,1,5.0,-1920.0
2025-08-20,OD,0,1150.0,0.0
2025-08-21,RV,1,895.0,1830.0
