atr_n,sl_mult,tp_mult,rr,n_all,wr_strict_all,wr_inc_fc_all,net_all,pf_all,mdd_all,is_n,wr_strict_is,wr_inc_fc_is,net_is,pf_is,oos_n,wr_strict_oos,wr_inc_fc_oos,net_oos,pf_oos,robust_1to1
14,0.5,0.75,1.5,1386,28.210678210678207,28.28282828282828,-154061.7599790721,0.611029315663704,-154501.38615976437,831,29.602888086642597,29.602888086642597,-67024.90671301079,0.6660456988604175,555,26.126126126126124,26.306306306306304,-87036.85326606134,0.5545131155010169,False
14,0.5,1.0,2.0,1386,27.633477633477632,27.84992784992785,-82766.81317733883,0.7924693953130645,-90672.25838242794,831,29.001203369434414,29.24187725631769,-25304.104698260875,0.8742805227744134,555,25.585585585585584,25.765765765765764,-57462.70847907795,0.7091129779699397,False
14,0.75,0.75,1.0,1386,40.62049062049062,40.76479076479077,-147558.13899963716,0.6998207636554467,-148973.3899648725,831,41.15523465703971,41.27557160048135,-67391.44281714999,0.7313677097223608,555,39.81981981981982,40.0,-80166.69618248718,0.6669408014363212,False
14,0.75,1.12,1.5,1386,37.51803751803752,37.878787878787875,-44427.10278326407,0.9142970400439655,-63661.59623048926,831,38.26714801444043,38.628158844765345,-6122.886145543347,0.9766739618721103,555,36.3963963963964,36.75675675675676,-38304.21663772074,0.850311717763865,False
14,0.75,1.5,2.0,1386,33.910533910533914,34.48773448773449,29176.193509579734,1.0534601565392612,-16123.243125545509,831,34.89771359807461,35.37906137184115,33969.66459958093,1.12246009695126,555,32.432432432432435,33.153153153153156,-4793.471090001198,0.9821380483922334,False
14,1.0,1.0,1.0,1386,46.464646464646464,46.82539682539682,-65597.86203725479,0.8885852124684133,-83848.49350788504,831,46.690734055354994,47.0517448856799,-18672.632282481372,0.937346069754154,555,46.126126126126124,46.48648648648649,-46925.229754773405,0.838602644551604,False
14,1.0,1.5,1.5,1386,40.33189033189033,41.05339105339105,31202.805394735064,1.0477836053311502,-19476.479808872424,831,40.07220216606498,40.67388688327316,18106.795780532902,1.0534826785174076,555,40.72072072072072,41.62162162162162,13096.009614202158,1.0416476251927278,False
14,1.0,2.0,2.0,1386,33.910533910533914,35.714285714285715,60799.626686006086,1.0851150788019812,-21996.287717697258,831,34.29602888086642,35.74007220216607,34656.752758264025,1.093635877812327,555,33.33333333333333,35.67567567567568,26142.873927742057,1.0759525578888416,False
14,1.25,1.25,1.0,1386,48.77344877344878,49.42279942279942,-13154.067518693539,0.9811599210368771,-45897.86158600445,831,49.338146811071,49.81949458483754,7248.182624867081,1.0203691275125077,555,47.927927927927925,48.82882882882883,-20402.250143560617,0.9404060527135497,False
14,1.25,1.88,1.5,1386,39.97113997113997,42.42424242424242,71730.74942078964,1.0905816785964746,-27584.324572891226,831,39.59085439229844,41.63658243080626,25564.842587412793,1.0613799828805022,555,40.54054054054054,43.6036036036036,46165.90683337685,1.122981523296734,False
14,1.25,2.5,2.0,1386,31.673881673881677,37.301587301587304,97403.19219478301,1.1133589104646138,-26376.040661508756,831,32.009626955475326,36.462093862815884,45321.77437317535,1.1002850178500871,555,31.17117117117117,38.55855855855856,52081.41782160768,1.1278647849629837,False
14,1.5,1.5,1.0,1386,50.0,51.73160173160173,45754.88420958558,1.0572437047672556,-26122.456802370412,831,50.42117930204573,52.105896510228646,37321.07331839976,1.0913999066501088,555,49.36936936936937,51.17117117117117,8433.810891185825,1.021571361360159,True
14,1.5,2.25,1.5,1386,37.15728715728716,43.57864357864358,59187.612708017405,1.0636687871516357,-34621.964993301335,831,37.42478941034898,43.080625752105895,28257.858617945967,1.0581051807994837,555,36.75675675675676,44.32432432432433,30929.75409007143,1.069772415425399,False
14,1.5,3.0,2.0,1386,26.911976911976907,39.24963924963925,75073.21686714553,1.0755489873786817,-31504.85496287166,831,27.196149217809868,38.628158844765345,37963.017697575546,1.0731380524611307,555,26.486486486486488,40.18018018018018,37110.199169569954,1.0781855370715552,False
14,1.75,1.75,1.0,1386,49.63924963924964,52.88600288600288,68525.3884762864,1.0750573377379191,-31218.133740025438,831,50.30084235860409,53.42960288808665,56286.59726750309,1.1214880195527983,555,48.64864864864865,52.072072072072075,12238.79120878331,1.0272176353640787,True
14,1.75,2.62,1.5,1386,34.1991341991342,44.94949494949495,75972.98284449987,1.0725374637343097,-38831.132770568656,831,35.25872442839952,45.006016847172084,58822.91002289301,1.1092952562857836,555,32.612612612612615,44.86486486486487,17150.072821606867,1.0336830626116449,False
14,1.75,3.5,2.0,1386,22.005772005772005,41.63059163059163,76970.46536999034,1.070090534350667,-39143.93978070149,831,21.780986762936223,40.55354993983153,23406.354053973984,1.040600039187103,555,22.34234234234234,43.24324324324324,53564.111316016366,1.1026826493010617,False
14,2.0,2.0,1.0,1386,47.4025974025974,53.6075036075036,104638.32582602924,1.1050001671253835,-32411.880816274985,831,48.375451263537904,53.67027677496991,59212.82601134248,1.1144917581421456,555,45.94594594594595,53.51351351351351,45425.499814686744,1.094760023962427,True
14,2.0,3.0,1.5,1386,29.653679653679653,46.60894660894661,93112.07693858608,1.0831106445958307,-59263.0370089926,831,30.084235860409148,45.96871239470517,41521.96437977838,1.0701973929505872,555,29.009009009009006,47.56756756756757,51590.1125588077,1.0975541183103623,False
