k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
1.5,drift_floor,1.0,0.7,False,0.5,0.3,1.274537793843391,1.492772135335535,1.3672796600071493,138705.0,-18070.0,709,1.274537793843391
1.5,drift_floor,1.0,0.7,False,1.0,0.0,1.2145558601644888,1.4329849938779577,1.3047054952286936,129640.0,-18985.0,709,1.2145558601644888
1.5,drift_floor,1.0,0.7,False,1.0,0.3,1.2561976369495167,1.4421286809905742,1.3348944394885518,135150.0,-17305.0,709,1.2561976369495167
2.0,pure_ratchet,0.0,0.0,True,0.5,0.0,1.2454893782132117,1.4653970904653328,1.340103626943005,123075.0,-16080.0,709,1.2454893782132117
2.0,pure_ratchet,0.0,0.3,True,0.5,0.0,1.1750004966525618,1.6090600161271742,1.3521943076145355,149790.0,-19595.0,709,1.1750004966525618
2.0,pure_ratchet,0.0,0.3,True,0.5,0.3,1.2675998442300203,1.539240506329114,1.3841964881084685,155565.0,-15860.0,709,1.2675998442300203
2.0,pure_ratchet,0.0,0.3,True,1.0,0.0,1.161938951663528,1.5880453703183783,1.3372058110261682,146000.0,-22260.0,709,1.161938951663528
2.0,pure_ratchet,0.0,0.3,True,1.0,0.3,1.2675562251156784,1.5842191813002877,1.4014828798171861,161635.0,-17745.0,709,1.2675562251156784
2.0,pure_ratchet,0.0,0.3,False,0.5,0.0,1.1645056570429704,1.60947446744013,1.3472709573721504,153400.0,-20915.0,709,1.1645056570429704
2.0,pure_ratchet,0.0,0.3,False,0.5,0.3,1.1775776287585298,1.585891131083602,1.345111500237728,148800.0,-23725.0,709,1.1775776287585298
2.0,pure_ratchet,0.0,0.3,False,1.0,0.0,1.1556899683526525,1.5836885857401684,1.332343593634874,151105.0,-19500.0,709,1.1556899683526525
2.0,pure_ratchet,0.0,0.3,False,1.0,0.3,1.177869280287653,1.5816085643700246,1.3447067230798897,151945.0,-20740.0,709,1.177869280287653
2.0,pure_ratchet,0.0,0.5,True,0.5,0.0,1.2041288943430584,1.6738414861035578,1.396154881288103,169275.0,-18450.0,709,1.2041288943430584
2.0,pure_ratchet,0.0,0.5,True,0.5,0.3,1.2473192019950126,1.5578308468999944,1.3786250569694645,157845.0,-20010.0,709,1.2473192019950126
2.0,pure_ratchet,0.0,0.5,True,1.0,0.0,1.1591382378554391,1.5772153253424657,1.3323798753852636,149900.0,-18860.0,709,1.1591382378554391
2.0,pure_ratchet,0.0,0.5,True,1.0,0.3,1.1912624225130375,1.5376355807488962,1.3365025311682226,147235.0,-17895.0,709,1.1912624225130375
2.0,pure_ratchet,0.0,0.5,False,0.5,0.0,1.1600901703006308,1.595653355066558,1.339032801705376,151885.0,-20845.0,709,1.1600901703006308
2.0,pure_ratchet,0.0,0.5,False,0.5,0.3,1.1825503091403142,1.5690089202648716,1.3442724316401777,150330.0,-20275.0,709,1.1825503091403142
2.0,pure_ratchet,0.0,0.5,False,1.0,0.0,1.1260295487334953,1.6187366737739872,1.326365183090044,150580.0,-20580.0,709,1.1260295487334953
2.0,pure_ratchet,0.0,0.5,False,1.0,0.3,1.1520426892728064,1.6014357307327645,1.3368574675252334,151185.0,-19940.0,709,1.1520426892728064
2.0,pure_ratchet,0.0,0.7,True,0.5,0.0,1.2054501947910692,1.67291696441332,1.396612586497101,169655.0,-18155.0,709,1.2054501947910692
2.0,pure_ratchet,0.0,0.7,True,0.5,0.3,1.2321599251621824,1.576339564747997,1.3757452205141578,158510.0,-19525.0,709,1.2321599251621824
2.0,pure_ratchet,0.0,0.7,True,1.0,0.0,1.149449809117449,1.6043985516963926,1.3364270676028704,152605.0,-19500.0,709,1.149449809117449
2.0,pure_ratchet,0.0,0.7,True,1.0,0.3,1.1505665048081501,1.5727395048439181,1.3255087817117368,145950.0,-18860.0,709,1.1505665048081501
2.0,pure_ratchet,0.0,0.7,False,0.5,0.0,1.1530412894015103,1.6038884792878403,1.3367870457960047,151310.0,-21045.0,709,1.1530412894015103
2.0,pure_ratchet,0.0,0.7,False,0.5,0.3,1.185973688356704,1.5690089202648716,1.3462815785254576,151190.0,-20275.0,709,1.185973688356704
2.0,pure_ratchet,0.0,0.7,False,1.0,0.0,1.1330303693969923,1.6407872265444983,1.337332707976571,154635.0,-20580.0,709,1.1330303693969923
2.0,pure_ratchet,0.0,0.7,False,1.0,0.3,1.1532389046270066,1.6057873485868102,1.3398335183129855,153095.0,-19940.0,709,1.1532389046270066
