N,k,mode,drift,giveback,scale_body,max_gb,min_gap,IS_pf,OOS_pf,FULL_pf,FULL_net,FULL_dd,n,robust_pf
5,1.0,pure_ratchet,0.0,0.5,True,1.0,0.0,1.2881667152433693,1.3424921246062302,1.312849872773537,98360.0,-17220.0,709,1.2881667152433693
5,1.0,pure_ratchet,0.0,0.5,True,1.0,0.3,1.2835212366163227,1.0783663151242249,1.1864805784429124,49905.0,-13915.0,709,1.0783663151242249
5,1.0,pure_ratchet,0.0,0.5,False,0.5,0.0,1.3506476882904102,1.4043999869242587,1.374255236673223,130340.0,-18305.0,709,1.3506476882904102
5,1.0,pure_ratchet,0.0,0.5,False,0.5,0.3,1.326914145948791,1.1950754799941374,1.2665335369434982,79415.0,-16095.0,709,1.1950754799941374
5,1.0,pure_ratchet,0.0,0.5,False,1.0,0.0,1.3281939382313448,1.4073588986019312,1.3630643321929294,135305.0,-17525.0,709,1.3281939382313448
5,1.0,pure_ratchet,0.0,0.5,False,1.0,0.3,1.2525681413504999,1.2765074227819602,1.2630484668340238,85400.0,-18420.0,709,1.2525681413504999
5,1.0,pure_ratchet,0.0,0.7,True,0.5,0.0,1.3271455171246402,1.46539636886572,1.3879325334724395,122705.0,-15415.0,709,1.3271455171246402
5,1.0,pure_ratchet,0.0,0.7,True,0.5,0.3,1.3341741110527239,1.1413855864926616,1.2426059446733373,65950.0,-15530.0,709,1.1413855864926616
5,1.0,pure_ratchet,0.0,0.7,True,1.0,0.0,1.3508381423467986,1.34505204031059,1.3482109369139599,116050.0,-15755.0,709,1.34505204031059
5,1.0,pure_ratchet,0.0,0.7,True,1.0,0.3,1.36290128341878,1.1379858456647618,1.255794254406517,70965.0,-18870.0,709,1.1379858456647618
5,1.0,pure_ratchet,0.0,0.7,False,0.5,0.0,1.378245668157746,1.4638749041443004,1.4155259758168701,143130.0,-18305.0,709,1.378245668157746
5,1.0,pure_ratchet,0.0,0.7,False,0.5,0.3,1.3274484296599145,1.189799941588785,1.2642682395522638,78855.0,-16095.0,709,1.189799941588785
5,1.0,pure_ratchet,0.0,0.7,False,1.0,0.0,1.3500392847789338,1.4193194960131474,1.3804485766574492,142400.0,-17275.0,709,1.3500392847789338
5,1.0,pure_ratchet,0.0,0.7,False,1.0,0.3,1.2415437987857763,1.2895744680851065,1.2623509893080989,85390.0,-18420.0,709,1.2415437987857763
5,1.0,drift_floor,0.0,0.0,True,0.5,0.0,1.2491127491127492,1.2240381480273883,1.23768573551263,63985.0,-16165.0,709,1.2240381480273883
5,1.0,drift_floor,0.0,0.3,True,0.5,0.0,1.2837970747802911,1.2773885712121786,1.280875599903325,81350.0,-15925.0,709,1.2773885712121786
5,1.0,drift_floor,0.0,0.3,True,0.5,0.3,1.2511094674556213,1.1200623262865326,1.1898357815145906,48205.0,-11940.0,709,1.1200623262865326
5,1.0,drift_floor,0.0,0.3,True,1.0,0.0,1.2837970747802911,1.2773885712121786,1.280875599903325,81350.0,-15925.0,709,1.2773885712121786
5,1.0,drift_floor,0.0,0.3,True,1.0,0.3,1.2511094674556213,1.1200623262865326,1.1898357815145906,48205.0,-11940.0,709,1.1200623262865326
5,1.0,drift_floor,0.0,0.3,False,0.5,0.0,1.32860507295417,1.457942930153322,1.384569313696884,125210.0,-15285.0,709,1.32860507295417
5,1.0,drift_floor,0.0,0.3,False,0.5,0.3,1.3440642527629352,1.1543514566709965,1.2545027682388394,72630.0,-17635.0,709,1.1543514566709965
5,1.0,drift_floor,0.0,0.3,False,1.0,0.0,1.32860507295417,1.457942930153322,1.384569313696884,125210.0,-15285.0,709,1.32860507295417
5,1.0,drift_floor,0.0,0.3,False,1.0,0.3,1.3440642527629352,1.1543514566709965,1.2545027682388394,72630.0,-17635.0,709,1.1543514566709965
5,1.0,drift_floor,0.0,0.5,True,0.5,0.0,1.2957394955515753,1.354717914296817,1.322509781284074,100565.0,-17220.0,709,1.2957394955515753
5,1.0,drift_floor,0.0,0.5,True,0.5,0.3,1.2986524263493657,1.0783663151242249,1.193859335951446,51585.0,-13915.0,709,1.0783663151242249
5,1.0,drift_floor,0.0,0.5,True,1.0,0.0,1.2881667152433693,1.3424921246062302,1.312849872773537,98360.0,-17220.0,709,1.2881667152433693
5,1.0,drift_floor,0.0,0.5,True,1.0,0.3,1.2835212366163227,1.0783663151242249,1.1864805784429124,49905.0,-13915.0,709,1.0783663151242249
5,1.0,drift_floor,0.0,0.5,False,0.5,0.0,1.3506476882904102,1.4043999869242587,1.374255236673223,130340.0,-18305.0,709,1.3506476882904102
5,1.0,drift_floor,0.0,0.5,False,0.5,0.3,1.326914145948791,1.1950754799941374,1.2665335369434982,79415.0,-16095.0,709,1.1950754799941374
5,1.0,drift_floor,0.0,0.5,False,1.0,0.0,1.3281939382313448,1.4073588986019312,1.3630643321929294,135305.0,-17525.0,709,1.3281939382313448
5,1.0,drift_floor,0.0,0.5,False,1.0,0.3,1.2525681413504999,1.2765074227819602,1.2630484668340238,85400.0,-18420.0,709,1.2525681413504999
5,1.0,drift_floor,0.0,0.7,True,0.5,0.0,1.3271455171246402,1.46539636886572,1.3879325334724395,122705.0,-15415.0,709,1.3271455171246402
