force_hour,atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_gross_$,IS_PF,IS_maxDD_$,OOS_trades,OOS_win%,OOS_gross_$,OOS_PF,OOS_maxDD_$,FULL_trades,FULL_win%,FULL_gross_$,FULL_PF,FULL_maxDD_$,robust_PF
16,25,1.42,0.0,pure_ratchet,1.42,167.8,0.82,0.48,False,0.3,0.33,748,41.17647058823529,97280.0,1.1356414314298264,-61400.0,616,41.55844155844156,102385.0,1.134010903070006,-78350.0,1364,41.348973607038126,199665.0,1.1348003969781055,-78350.0,1.134010903070006
12,14,1.02,1.41,drift_floor,3.74,136.3,1.94,0.36,False,1.03,0.49,765,44.052287581699346,95320.0,1.2090144612921971,-31960.0,628,46.496815286624205,134965.0,1.2805371080555816,-40630.0,1393,45.15434314429289,230285.0,1.245731694303946,-40630.0,1.2090144612921971
15,25,1.17,2.1,drift_floor,2.9,64.9,2.11,0.74,True,0.44,0.23,751,39.680426098535285,71655.0,1.1170345689296126,-53410.0,620,43.225806451612904,168375.0,1.2638238197458518,-85115.0,1371,41.2837345003647,240030.0,1.1919525936351678,-85115.0,1.1170345689296126
10,20,2.8,2.6,drift_floor,1.11,52.5,0.03,0.15,False,1.27,0.31,763,55.307994757536036,-565.0,0.9992463802911773,-105595.0,623,59.069020866773684,106820.0,1.144205197435032,-51275.0,1386,56.99855699855701,106255.0,1.071289832367751,-105595.0,0.9992463802911773
12,14,1.94,0.79,drift_floor,0.78,45.2,0.73,0.61,False,0.65,0.45,765,57.90849673202615,-95.0,0.9998639280394179,-85730.0,628,65.28662420382165,121480.0,1.1869483922099706,-41555.0,1393,61.23474515434314,121385.0,1.0900505576925217,-85730.0,0.9998639280394179
10,10,2.88,0.0,pure_ratchet,1.24,47.3,1.27,0.32,True,0.51,0.57,763,57.01179554390564,18715.0,1.0269645275624586,-84070.0,623,62.11878009630819,114375.0,1.1627511525983265,-48195.0,1386,59.307359307359306,133090.0,1.095280709039103,-84070.0,1.0269645275624586
13,7,1.62,2.82,drift_floor,3.67,112.1,2.37,0.55,False,0.42,0.35,764,41.09947643979058,62875.0,1.0913137562449169,-56340.0,624,43.42948717948718,132750.0,1.1710640765439257,-76515.0,1388,42.14697406340058,195625.0,1.1335702605174844,-76515.0,1.0913137562449169
16,7,1.48,0.0,pure_ratchet,3.92,164.3,0.03,0.66,True,0.98,0.47,754,39.389920424403186,88960.0,1.1371347530849925,-56065.0,622,42.60450160771704,167035.0,1.2438858794842969,-70705.0,1376,40.843023255813954,255995.0,1.1919585781290423,-70705.0,1.1371347530849925
8,30,1.82,2.87,drift_floor,0.88,168.1,1.01,0.4,False,1.33,0.28,763,53.07994757536042,-1815.0,0.9968157615417679,-59280.0,624,58.97435897435898,175035.0,1.3161588064230623,-31460.0,1387,55.73179524152848,173220.0,1.1541617532539772,-59280.0,0.9968157615417679
8,20,2.99,1.96,drift_floor,2.79,199.5,2.45,0.38,False,1.06,0.41,764,53.27225130890052,1290.0,1.0022634954335297,-53500.0,622,59.0032154340836,174770.0,1.3186849255119344,-39470.0,1386,55.84415584415584,176060.0,1.1574318735609057,-53500.0,1.0022634954335297
