atr_len,yellow_atr_mult,yellow_drift,yellow_mode,green_atr_mult,green_base,green_decay,yellow_giveback,scale_by_body,max_giveback_atr,giveback_min_gap_atr,IS_trades,IS_win%,IS_avg_$,IS_gross_$,IS_PF,OOS_trades,OOS_win%,OOS_avg_$,OOS_gross_$,OOS_PF
7,2.63,1.75,drift_floor,2.0,27.5,1.09,0.22,False,1.47,0.02,764,57.460732984293195,2.899214659685864,2215.0,1.0052444654907067,620,64.35483870967742,167.33064516129033,103745.0,1.2399033403091724
10,1.77,2.02,raw_atr,1.42,88.6,1.92,0.0,True,1.09,0.28,763,55.83224115334207,-0.9764089121887287,-745.0,0.9984811571747485,618,61.6504854368932,202.1359223300971,124920.0,1.2688243775420172
10,1.55,1.68,pure_ratchet,3.91,154.9,2.78,0.65,True,0.45,0.48,764,43.84816753926701,25.255235602094242,19295.0,1.063039074751699,619,47.49596122778675,179.68497576736672,111225.0,1.3197866651332624
10,1.77,0.66,raw_atr,0.65,161.0,2.6,0.72,False,0.82,0.58,764,53.27225130890052,33.946335078534034,25935.0,1.0551673526690277,618,57.11974110032363,150.99514563106797,93315.0,1.1896434341689446
20,2.49,1.91,pure_ratchet,1.07,99.5,2.12,0.0,False,0.39,0.57,764,46.46596858638743,10.6217277486911,8115.0,1.0191317058220268,620,52.741935483870975,178.71774193548387,110805.0,1.2578689535600833
20,1.94,2.74,drift_floor,1.4,168.4,1.45,0.26,False,1.18,0.2,764,48.56020942408377,-1.4594240837696335,-1115.0,0.9975150434588812,620,53.87096774193548,222.58870967741936,138005.0,1.2870738252241383
20,1.21,1.9,pure_ratchet,2.27,65.2,2.72,0.27,True,1.04,0.5,765,40.91503267973856,4.666666666666667,3570.0,1.0154733009708738,620,45.322580645161295,164.93548387096774,102260.0,1.4051826610666456
25,2.92,2.79,raw_atr,2.91,148.3,1.2,0.23,False,0.72,0.54,762,54.7244094488189,32.618110236220474,24855.0,1.052065440529557,617,58.34683954619124,193.20097244732577,119205.0,1.235839351073301
30,1.64,2.74,pure_ratchet,1.0,45.1,2.23,0.35,False,1.18,0.26,765,67.7124183006536,15.209150326797385,11635.0,1.0327326947152242,620,69.6774193548387,101.56451612903226,62970.0,1.1609189527618415
10,2.78,1.94,pure_ratchet,3.26,26.0,1.09,0.77,True,1.39,0.2,764,56.02094240837696,15.569371727748692,11895.0,1.0253322259136213,620,61.29032258064516,220.75,136865.0,1.2960171296947152
16,1.22,2.36,raw_atr,2.79,103.7,1.33,0.0,True,0.84,0.54,763,54.914809960681524,0.36041939711664484,275.0,1.000548497117897,618,59.54692556634305,254.67637540453075,157390.0,1.3282548620887429
30,2.62,2.71,drift_floor,2.62,83.4,1.91,0.83,False,1.1,0.43,764,54.581151832460726,17.12041884816754,13080.0,1.0270404366162242,620,58.387096774193544,223.7741935483871,138740.0,1.2836029885221942
7,2.25,1.66,raw_atr,0.86,178.1,0.79,0.89,False,1.18,0.09,762,54.7244094488189,10.111548556430446,7705.0,1.0156667784996085,617,59.15721231766613,233.81685575364668,144265.0,1.2960587746390715
20,2.04,2.98,pure_ratchet,0.58,169.4,1.19,0.29,True,1.33,0.47,765,44.70588235294118,-30.26797385620915,-23155.0,0.9463774996236815,620,52.09677419354839,197.33064516129033,122345.0,1.2801515880103502
30,2.88,2.96,pure_ratchet,2.74,96.4,0.75,0.23,False,0.5,0.23,764,54.31937172774869,37.89267015706806,28950.0,1.0621237969549684,620,57.74193548387097,225.7741935483871,139980.0,1.279270202599579
10,1.39,1.99,raw_atr,1.67,167.3,2.25,0.24,False,0.53,0.12,763,49.803407601572744,42.06422018348624,32095.0,1.0749725525006424,618,53.55987055016181,189.33656957928804,117010.0,1.2512265032044745
16,1.3,0.42,drift_floor,2.87,180.6,0.26,0.12,True,0.29,0.13,764,40.83769633507853,13.723821989528796,10485.0,1.0388189559422436,619,47.011308562197094,217.50403877221325,134635.0,1.4546559729843815
14,1.89,0.4,pure_ratchet,3.58,178.3,1.11,0.18,True,1.29,0.42,764,41.49214659685864,3.363874345549738,2570.0,1.0075158285689219,619,47.980613893376415,193.85298869143782,119995.0,1.3250575646756062
14,1.87,1.75,drift_floor,2.11,65.7,0.77,0.41,True,1.26,0.54,765,44.44444444444444,-1.4836601307189543,-1135.0,0.996822641826351,620,50.967741935483865,197.3709677419355,122370.0,1.3085165389269866
20,2.54,0.88,pure_ratchet,2.01,64.0,1.24,0.0,False,0.48,0.11,764,46.596858638743456,7.984293193717278,6100.0,1.0141651282408537,620,49.83870967741936,158.2258064516129,98100.0,1.221958255557441
16,2.99,2.24,pure_ratchet,3.92,156.9,2.11,0.0,True,0.46,0.18,763,48.492791612057665,33.217562254259505,25345.0,1.0579241466787033,619,50.88852988691438,153.78029079159936,95190.0,1.2026806911456283
