stop_mult,tp_mult,contract_type,num_contracts,challenge_pass_rate,challenge_avg_days,challenge_blowup_rate,funded_avg_payouts,funded_days_per_payout,funded_blowup_rate,funded_net_lifetime
0.6,2.6,MNQ,4,79.58,24.33425483789897,20.419999999999998,10.0718,30.459679501181515,98.44000000000001,28215.399999999998
0.6,2.6,MNQ,5,72.84,18.034870950027457,27.16,5.8524,23.68556489645274,99.96000000000001,15557.2
0.6,2.6,MNQ,6,66.96,13.638590203106332,33.040000000000006,3.824,18.886767782426777,100.0,9472.0
0.6,2.6,MNQ,7,63.1,11.069096671949287,36.9,2.7984,15.491495140080046,100.0,6395.200000000001
0.6,2.6,MNQ,8,58.78,8.957468526709766,41.22,2.1652,13.156844633290227,100.0,4495.6
0.6,2.6,MNQ,9,55.76,7.484576757532281,44.24,1.7974,11.222098586847668,100.0,3392.2000000000007
0.7,3.0,MNQ,1,99.58,127.69511950190801,0.42,10.5712,133.43733918571212,1.0999999999999999,29713.6
0.7,3.0,MNQ,2,90.48,59.845711759504866,9.520000000000001,15.8988,65.92515158376733,46.300000000000004,45696.4
0.7,3.0,MNQ,3,78.22,34.062643825108665,21.78,9.0708,42.78520086431186,95.89999999999999,25212.4
0.7,3.0,MNQ,4,68.58,21.903762029746282,31.419999999999998,4.5122,30.445946544922656,99.98,11536.6
0.7,3.0,MNQ,5,61.8,15.94789644012945,38.2,2.9838,22.741001407601047,100.0,6951.4
0.7,3.0,MNQ,6,56.86,11.96306718255364,43.14,2.0794,17.68952582475714,100.0,4238.200000000001
0.7,3.0,MNQ,7,53.22,9.413754227733934,46.78,1.6062,14.53841364711742,100.0,2818.6000000000004
0.7,3.0,MNQ,8,51.64,7.986057319907049,48.36,1.366,12.101317715959004,100.0,2098.0
0.7,3.0,MNQ,9,49.419999999999995,6.610279239174424,50.580000000000005,1.185,9.986160337552743,100.0,1555.0
0.5,2.1,MNQ,1,100.0,122.649,0.0,11.1422,128.43993107285814,0.0,31426.600000000006
0.5,2.1,MNQ,2,98.83999999999999,62.404694455685956,1.16,22.2574,64.44503850404809,3.1199999999999997,64772.2
0.5,2.1,MNQ,3,95.16,41.05947877259353,4.84,26.7672,43.5889969813802,35.86,78301.59999999999
0.5,2.1,MNQ,4,88.26,28.976659868570135,11.74,20.0928,32.77962255136168,82.36,58278.4
0.5,2.1,MNQ,5,82.17999999999999,21.77561450474568,17.82,11.8444,25.982050589308027,98.36,33533.200000000004
0.5,2.1,MNQ,6,76.78,16.75644699140401,23.22,7.3594,21.241731662907302,100.0,20078.2
0.5,2.1,MNQ,7,70.72,13.325226244343892,29.28,4.9042,17.928632600628035,100.0,12712.6
0.5,2.1,MNQ,8,68.52000000000001,11.187098657326327,31.480000000000004,3.6944,15.224556084885231,100.0,9083.199999999999
0.5,2.1,MNQ,9,64.62,9.430826369545033,35.38,2.9946,13.222667468109263,100.0,6983.800000000001
0.6,2.5,MNQ,1,99.96000000000001,119.23609443777511,0.04,11.39,125.50152765583846,0.04,32170.0
0.6,2.5,MNQ,2,96.5,60.1278756476684,3.5000000000000004,21.2162,62.80639322781648,14.899999999999999,61648.6
0.6,2.5,MNQ,3,88.12,36.73218338629142,11.88,18.445,42.00664678774736,72.92,53335.0
0.6,2.5,MNQ,4,80.58,24.98932737652023,19.42,10.067,31.154326015694846,98.72,28201.0
0.6,2.5,MNQ,5,72.61999999999999,18.79041586339851,27.38,5.7256,24.193412044152577,100.0,15176.8
0.6,2.5,MNQ,6,66.5,14.126917293233083,33.5,3.7178,19.352305126687828,100.0,9153.4
0.6,2.5,MNQ,7,63.519999999999996,11.07367758186398,36.480000000000004,2.7842,16.054019107822715,100.0,6352.5999999999985
