date,variant,direction,entry_time,exit_time,entry_price,exit_price,gap_pct,atr,exit_reason,post_holiday,dow,pnl_gross,pnl_net
2022-03-17,A30,long,2022-03-17 09:31:00-04:00,2022-03-17 10:00:00-04:00,13872.625,13972.125,-0.0036449823137557624,404.60714285714283,time,False,Thursday,1995.0,1985.5
2022-03-18,A30,long,2022-03-18 09:31:00-04:00,2022-03-18 10:00:00-04:00,14044.625,14126.875,-0.0032115544988378097,414.07142857142856,time,False,Friday,1650.0,1640.5
2022-03-23,A30,long,2022-03-23 09:31:00-04:00,2022-03-23 10:00:00-04:00,14531.625,14505.375,-0.007987165921425454,394.8392857142857,time,False,Wednesday,-520.0,-529.5
2022-03-24,A30,short,2022-03-24 09:31:00-04:00,2022-03-24 10:00:00-04:00,14523.625,14485.875,0.005173368399197242,397.69642857142856,time,False,Thursday,760.0,750.5
2022-03-29,A30,short,2022-03-29 09:31:00-04:00,2022-03-29 10:00:00-04:00,15148.125,15159.875,0.011147267417605411,337.8392857142857,time,False,Tuesday,-230.0,-239.5
2022-03-30,A30,long,2022-03-30 09:31:00-04:00,2022-03-30 10:00:00-04:00,15165.625,15184.375,-0.004480183802412441,330.07142857142856,time,False,Wednesday,380.0,370.5
2022-04-01,A30,long,2022-04-01 09:31:00-04:00,2022-04-01 10:00:00-04:00,14898.875,14832.625,-0.010740015271737291,323.8392857142857,time,False,Friday,-1320.0,-1329.5
2022-04-05,A30,long,2022-04-05 09:31:00-04:00,2022-04-05 10:00:00-04:00,15105.625,15066.375,-0.003200475122079993,313.875,time,False,Tuesday,-780.0,-789.5
2022-04-06,A30,long,2022-04-06 09:31:00-04:00,2022-04-06 10:00:00-04:00,14602.625,14515.875,-0.014177215189873471,309.67857142857144,time,False,Wednesday,-1730.0,-1739.5
2022-04-07,A30,long,2022-04-07 09:31:00-04:00,2022-04-07 10:00:00-04:00,14466.875,14563.625,-0.0033584788674175803,311.3392857142857,time,False,Thursday,1940.0,1930.5
2022-04-08,A30,long,2022-04-08 09:31:00-04:00,2022-04-08 10:00:00-04:00,14467.625,14317.375,-0.005140194949199706,297.10714285714283,time,False,Friday,-3000.0,-3009.5
2022-04-11,A30,long,2022-04-11 09:31:00-04:00,2022-04-11 10:00:00-04:00,14157.875,14147.375,-0.011589143904354615,301.10714285714283,time,True,Monday,-205.0,-214.5
2022-04-12,A30,short,2022-04-12 09:31:00-04:00,2022-04-12 10:00:00-04:00,14198.875,14247.875,0.014504144041154632,306.125,time,False,Tuesday,-975.0,-984.5
2022-04-14,A30,short,2022-04-14 09:31:00-04:00,2022-04-14 10:00:00-04:00,14223.625,14114.875,0.019495762180371745,316.92857142857144,time,False,Thursday,2180.0,2170.5
2022-04-21,A30,short,2022-04-21 09:31:00-04:00,2022-04-21 10:00:00-04:00,14172.375,14208.125,0.011941950340051077,353.64285714285717,time,False,Thursday,-710.0,-719.5
2022-04-25,A30,long,2022-04-25 09:31:00-04:00,2022-04-25 10:00:00-04:00,13289.375,13271.875,-0.00516534725731288,360.125,time,True,Monday,-345.0,-354.5
2022-04-26,A30,long,2022-04-26 09:31:00-04:00,2022-04-26 10:00:00-04:00,13443.875,13255.875,-0.0065766381555855125,369.92857142857144,time,False,Tuesday,-3755.0,-3764.5
2022-04-29,A30,short,2022-04-29 09:31:00-04:00,2022-04-29 10:00:00-04:00,13287.875,13416.125,0.019252895604817022,406.2142857142857,time,False,Friday,-2560.0,-2569.5
2022-05-05,A30,long,2022-05-05 09:31:00-04:00,2022-05-05 10:00:00-04:00,13341.875,13173.625,-0.013968183581841376,452.1607142857143,time,False,Thursday,-3360.0,-3369.5
