date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2022-09-15,SHORT,2022-09-15 10:50:00-04:00,2022-09-15 13:10:00-04:00,12088.75,12132.0,SL_YELLOW,-43.25,7,-54.0,100.75,42.3576960087342,10,142.75,IS,2022
2022-09-16,SHORT,2022-09-16 10:10:00-04:00,2022-09-16 10:30:00-04:00,11822.5,11848.25,SL_YELLOW,-25.75,1,-63.5,5.25,31.352783345651453,10,130.75,IS,2022
2022-09-19,LONG,2022-09-19 11:10:00-04:00,2022-09-19 11:30:00-04:00,11954.75,11903.25,SL_YELLOW,-51.5,1,-52.0,23.75,38.66052723584768,11,158.0,IS,2022
2022-09-20,SHORT,2022-09-20 13:50:00-04:00,2022-09-20 15:30:00-04:00,11859.75,11928.25,SL_YELLOW,-68.5,5,-82.5,31.5,35.93934990941791,13,179.75,IS,2022
2022-09-21,LONG,2022-09-21 12:50:00-04:00,2022-09-21 13:10:00-04:00,12005.0,11982.25,SL_YELLOW,-22.75,1,-32.25,2.75,27.45752785859386,12,128.25,IS,2022
2022-09-22,SHORT,2022-09-22 14:50:00-04:00,2022-09-22 15:10:00-04:00,11542.75,11614.75,SL_YELLOW,-72.0,1,-79.0,1.25,46.08130758712504,14,246.0,IS,2022
2022-09-23,SHORT,2022-09-23 11:50:00-04:00,2022-09-23 16:10:00-04:00,11356.75,11373.5,FORCE_CLOSE,-16.75,13,-36.75,127.75,41.99997747621803,11,220.75,IS,2022
2022-09-26,LONG,2022-09-26 10:10:00-04:00,2022-09-26 11:10:00-04:00,11478.75,11404.25,SL_YELLOW,-74.5,3,-76.75,59.0,47.650154917897886,10,165.25,IS,2022
2022-09-27,SHORT,2022-09-27 12:50:00-04:00,2022-09-27 14:50:00-04:00,11286.75,11360.25,SL_YELLOW,-73.5,6,-77.0,44.75,55.18133786360504,12,226.5,IS,2022
2022-09-28,LONG,2022-09-28 10:50:00-04:00,2022-09-28 16:10:00-04:00,11421.5,11559.25,FORCE_CLOSE,137.75,16,-38.0,192.0,64.91658240029355,10,251.0,IS,2022
2022-09-29,SHORT,2022-09-29 10:10:00-04:00,2022-09-29 16:10:00-04:00,11192.75,11229.5,FORCE_CLOSE,-36.75,18,-81.75,101.25,52.571792411848264,10,234.75,IS,2022
2022-09-30,SHORT,2022-09-30 15:10:00-04:00,2022-09-30 16:10:00-04:00,11130.75,11075.0,FORCE_CLOSE,55.75,3,-17.25,106.5,53.78426845666057,15,186.5,IS,2022
2022-10-03,LONG,2022-10-03 10:30:00-04:00,2022-10-03 16:10:00-04:00,11205.5,11315.75,FORCE_CLOSE,110.25,17,-47.25,152.75,47.10848000636575,10,244.75,IS,2022
2022-10-04,LONG,2022-10-04 10:10:00-04:00,2022-10-04 16:10:00-04:00,11641.5,11648.0,FORCE_CLOSE,6.5,18,-117.25,33.5,33.287700253972005,10,272.25,IS,2022
2022-10-05,SHORT,2022-10-05 10:30:00-04:00,2022-10-05 12:10:00-04:00,11386.0,11490.25,SL_YELLOW,-104.25,5,-112.75,19.5,36.41559275790409,10,168.25,IS,2022
2022-10-07,SHORT,2022-10-07 10:10:00-04:00,2022-10-07 15:50:00-04:00,11235.0,11053.094453348382,TP,181.90554665161835,17,-40.75,191.75,45.47638666290473,10,264.0,IS,2022
2022-10-10,SHORT,2022-10-10 11:10:00-04:00,2022-10-10 11:50:00-04:00,10948.0,10992.5,SL_YELLOW,-44.5,2,-45.5,6.75,45.25790163160869,11,150.5,IS,2022
2022-10-11,SHORT,2022-10-11 10:30:00-04:00,2022-10-11 10:50:00-04:00,10828.25,10861.25,SL_YELLOW,-33.0,1,-73.25,19.5,42.73320832928942,10,178.0,IS,2022
2022-10-13,LONG,2022-10-13 13:50:00-04:00,2022-10-13 16:10:00-04:00,11065.5,11080.75,FORCE_CLOSE,15.25,7,-58.75,77.25,89.03541590053051,13,502.0,IS,2022
2022-10-14,SHORT,2022-10-14 10:30:00-04:00,2022-10-14 16:10:00-04:00,10920.25,10758.75,FORCE_CLOSE,161.5,17,-51.25,193.5,71.53373967125941,10,265.25,IS,2022
2022-10-18,SHORT,2022-10-18 11:30:00-04:00,2022-10-18 14:30:00-04:00,11129.25,11238.75,SL_YELLOW,-109.5,9,-125.5,45.75,55.07303966047425,11,172.75,IS,2022
2022-10-19,SHORT,2022-10-19 13:30:00-04:00,2022-10-19 14:10:00-04:00,11087.5,11129.25,SL_YELLOW,-41.75,2,-54.75,20.75,55.56346568702214,13,278.0,IS,2022
2022-10-20,LONG,2022-10-20 10:30:00-04:00,2022-10-20 12:10:00-04:00,11311.75,11217.5,SL_YELLOW,-94.25,5,-102.75,14.0,54.49474309262704,10,211.0,IS,2022
2022-10-21,LONG,2022-10-21 10:30:00-04:00,2022-10-21 11:10:00-04:00,11108.5,11084.25,SL_YELLOW,-24.25,2,-57.5,47.5,60.66518062960362,10,166.25,IS,2022
2022-10-24,SHORT,2022-10-24 10:30:00-04:00,2022-10-24 10:50:00-04:00,11250.25,11278.0,SL_YELLOW,-27.75,1,-76.75,14.5,58.1556694587356,10,269.5,IS,2022
2022-10-25,LONG,2022-10-25 10:10:00-04:00,2022-10-25 16:10:00-04:00,11640.0,11618.0,SL_YELLOW,-22.0,18,-65.0,94.0,34.11865305665011,10,97.0,IS,2022
2022-10-26,LONG,2022-10-26 10:50:00-04:00,2022-10-26 13:10:00-04:00,11643.0,11537.0,SL_YELLOW,-106.0,7,-114.5,60.5,44.216861233502804,10,132.25,IS,2022
2022-10-28,LONG,2022-10-28 10:30:00-04:00,2022-10-28 16:10:00-04:00,11380.75,11585.0,FORCE_CLOSE,204.25,17,-2.5,224.75,57.812782642202734,10,162.0,IS,2022
2022-11-01,SHORT,2022-11-01 10:30:00-04:00,2022-11-01 16:10:00-04:00,11438.25,11310.5,FORCE_CLOSE,127.75,17,-7.25,132.75,36.200046066077206,10,136.25,IS,2022
2022-11-02,SHORT,2022-11-02 10:30:00-04:00,2022-11-02 14:10:00-04:00,11268.0,11394.5,SL_YELLOW,-126.5,11,-172.75,77.0,27.182784251900248,10,94.5,IS,2022
